['20', '952', '798', '767', '876', '809', '864', '113', '729', '564', '35', '790', '365', '4', '311', '659', '153', '833', '33', '728']
['413', '319', '115', '125', '942', '313', '774', '925', '96', '235', '131', '169', '669', '851', '259', '746', '39', '557', '824', '867']
['162', '538', '727', '946', '232', '647', '698', '569', '859', '563', '594', '960', '121', '374', '821', '55', '712', '17', '689', '29']
['102', '5', '682', '225', '377', '34', '342', '293', '685', '884', '108', '591', '266', '492', '444', '236', '65', '868', '93', '67']
['487', '665', '843', '164', '733', '449', '791', '692', '148', '2', '296', '836', '315', '520', '486', '45', '742', '473', '6', '369']
['768', '842', '688', '838', '773', '234', '517', '489', '324', '198', '30', '756', '799', '531', '118', '254', '965', '54', '97', '60']
['165', '523', '354', '263', '863', '388', '726', '316', '714', '881', '376', '63', '397', '969', '252', '450', '104', '284', '955', '277']
['78', '819', '877', '919', '75', '275', '743', '891', '709', '683', '547', '47', '958', '126', '641', '429', '305', '25', '194', '257']
['639', '784', '715', '143', '362', '830', '553', '914', '155', '270', '847', '258', '787', '982', '74', '317', '657', '937', '518', '957']
['707', '917', '644', '239', '307', '357', '186', '501', '472', '425', '363', '704', '66', '673', '565', '268', '32', '874', '327', '631']
['114', '770', '532', '578', '643', '778', '351', '539', '379', '190', '53', '216', '972', '76', '228', '984', '804', '832', '179', '460']
['142', '997', '871', '385', '852', '766', '201', '601', '519', '579', '939', '267', '435', '953', '934', '103', '694', '344', '386', '932']
['405', '209', '137', '559', '652', '747', '541', '977', '962', '763', '367', '723', '802', '858', '948', '328', '51', '598', '589', '217']
['621', '762', '941', '664', '298', '671', '674', '94', '156', '964', '634', '586', '237', '197', '549', '793', '249', '508', '618', '691']
['484', '555', '764', '734', '785', '646', '753', '696', '116', '256', '872', '498', '255', '107', '253', '203', '183', '920', '510', '199']
['661', '978', '558', '474', '85', '976', '109', '776', '546', '332', '751', '675', '699', '207', '938', '645', '724', '458', '453', '971']
['213', '629', '455', '922', '635', '393', '950', '850', '358', '488', '613', '662', '902', '893', '149', '364', '857', '420', '817', '352']
['815', '906', '338', '658', '502', '931', '820', '73', '318', '0', '196', '147', '464', '372', '90', '395', '23', '411', '744', '903']
['129', '803', '494', '241', '812', '947', '968', '630', '789', '995', '596', '48', '461', '373', '120', '588', '361', '996', '402', '720']
['537', '64', '752', '59', '818', '750', '68', '522', '308', '273', '187', '878', '117', '769', '154', '514', '580', '8', '860', '174']
['826', '177', '399', '703', '888', '404', '677', '567', '88', '178', '135', '896', '182', '693', '823', '231', '442', '58', '44', '825']
['222', '632', '775', '576', '684', '62', '961', '394', '262', '306', '37', '415', '954', '229', '604', '844', '642', '383', '83', '846']
['572', '725', '84', '304', '398', '638', '760', '160', '592', '916', '562', '274', '82', '837', '719', '862', '42', '349', '866', '1']
['951', '654', '423', '609', '526', '95', '409', '667', '334', '163', '981', '13', '87', '575', '543', '384', '701', '410', '571', '192']
['901', '371', '796', '928', '345', '138', '439', '406', '597', '341', '829', '979', '831', '855', '777', '593', '894', '505', '987', '432']
['224', '245', '279', '705', '246', '337', '556', '795', '581', '323', '43', '666', '496', '512', '535', '343', '686', '834', '806', '989']
['913', '495', '392', '91', '111', '992', '800', '722', '974', '172', '86', '679', '988', '599', '428', '301', '151', '141', '49', '24']
['772', '265', '226', '700', '966', '805', '956', '57', '456', '786', '886', '31', '294', '721', '140', '918', '440', '616', '447', '16']
['457', '106', '985', '822', '238', '651', '14', '41', '708', '18', '98', '161', '880', '544', '205', '590', '780', '99', '50', '475']
['865', '490', '422', '12', '400', '481', '668', '287', '360', '680', '929', '738', '443', '607', '845', '170', '215', '935', '611', '782']
['89', '134', '608', '869', '570', '181', '19', '407', '585', '573', '431', '282', '513', '848', '973', '378', '924', '732', '272', '471']
['348', '745', '396', '221', '551', '3', '139', '807', '416', '695', '945', '185', '808', '218', '128', '72', '424', '783', '909', '417']
['356', '331', '370', '737', '507', '574', '986', '610', '26', '462', '759', '105', '603', '434', '459', '401', '959', '227', '22', '625']
['204', '271', '368', '963', '813', '710', '56', '21', '465', '749', '595', '663', '445', '898', '389', '904', '542', '247', '741', '269']
['687', '797', '545', '184', '321', '633', '908', '467', '504', '278', '493', '448', '771', '124', '133', '11', '702', '681', '391', '754']
['814', '70', '697', '189', '717', '325', '602', '718', '193', '451', '310', '828', '583', '854', '336', '380', '503', '509', '477', '426']
['584', '623', '69', '926', '637', '206', '468', '157', '915', '626', '653', '264', '248', '27', '912', '291', '577', '223', '480', '656']
['438', '101', '605', '990', '191', '617', '46', '660', '801', '152', '127', '219', '173', '482', '524', '612', '144', '297', '418', '536']
['158', '615', '678', '648', '887', '208', '132', '856', '375', '540', '123', '736', '280', '359', '212', '346', '483', '835', '779', '312']
['251', '980', '166', '478', '905', '150', '566', '210', '347', '506', '7', '288', '283', '587', '890', '875', '441', '998', '71', '711']
['739', '511', '554', '910', '788', '403', '706', '499', '28', '655', '299', '889', '381', '873', '233', '240', '335', '122', '900', '497']
['52', '991', '366', '36', '180', '967', '853', '77', '110', '244', '927', '466', '243', '933', '516', '446', '289', '353', '159', '521']
['650', '61', '627', '261', '79', '146', '550', '525', '329', '421', '175', '899', '92', '781', '897', '80', '794', '993', '276', '690']
['260', '892', '242', '320', '214', '387', '983', '40', '552', '81', '940', '849', '840', '816', '614', '561', '755', '285', '463', '303']
['676', '9', '302', '619', '220', '250', '943', '309', '286', '527', '145', '970', '433', '568', '515', '713', '735', '202', '330', '430']
['582', '740', '290', '211', '839', '672', '339', '292', '136', '382', '119', '975', '412', '636', '921', '530', '322', '622', '624', '600']
['437', '930', '176', '350', '340', '200', '167', '765', '730', '408', '620', '670', '949', '883', '923', '414', '15', '911', '758', '827']
['936', '469', '427', '861', '454', '171', '649', '560', '548', '999', '130', '841', '534', '885', '628', '606', '528', '811', '716', '419']
['792', '436', '882', '355', '944', '479', '195', '476', '485', '994', '100', '333', '500', '188', '168', '112', '326', '810', '300', '757']
['38', '907', '390', '879', '731', '533', '491', '895', '761', '230', '281', '314', '748', '529', '295', '870', '452', '470', '10', '640']
