['123', '328']
['641', '376']
['533', '635']
['959', '853']
['547', '143']
['616', '499']
['271', '219']
['351', '728']
['712', '60']
['818', '713']
['719', '102']
['572', '362']
['951', '389']
['32', '849']
['906', '594']
['566', '555']
['184', '473']
['393', '352']
['105', '553']
['28', '239']
['374', '67']
['325', '81']
['266', '609']
['413', '350']
['84', '488']
['930', '578']
['519', '208']
['699']
['217', '397']
['971', '477']
['808', '967']
['721', '669']
['125', '925']
['910', '83']
['743', '462']
['257', '884']
['898', '498']
['569', '632']
['701', '501']
['199', '146']
['562', '679']
['410', '681']
['549', '723']
['534', '530']
['749', '804']
['452', '215']
['297', '668']
['567', '725']
['896', '706']
['823', '378']
['211', '715']
['633', '461']
['531', '110']
['806', '131']
['593', '434']
['863', '834']
['327', '71']
['614', '665']
['121', '345']
['508', '358']
['824', '610']
['74', '969']
['113', '91']
['456', '9']
['284', '907']
['999', '827']
['496', '179']
['280', '708']
['5', '933']
['46', '209']
['90', '949']
['836', '996']
['560', '31']
['895', '956']
['710', '142']
['677', '115']
['700', '222']
['353', '574']
['868', '877']
['704', '53']
['840', '886']
['114', '354']
['246', '467']
['762', '862']
['689', '56']
['318', '939']
['819', '778']
['754', '611']
['180', '330']
['360', '158']
['418', '846']
['523', '342']
['187', '390']
['518', '404']
['432', '400']
['474', '992']
['230', '132']
['379']
['841', '790']
['186', '881']
['963', '2']
['183', '891']
['485', '795']
['801', '980']
['747', '931']
['770', '89']
['294', '558']
['796', '684']
['612', '273']
['313', '885']
['937', '457']
['424', '615']
['10', '890']
['650', '399']
['718', '463']
['765', '368']
['786', '624']
['514', '4']
['619', '237']
['645', '427']
['30', '155']
['776', '58']
['691', '855']
['348', '272']
['636', '535']
['171', '275']
['565', '134']
['441', '981']
['522', '917']
['154', '889']
['193', '22']
['953', '771']
['61', '559']
['985', '267']
['388', '556']
['676', '450']
['411', '245']
['625', '181']
['100', '228']
['309', '454']
['532', '586']
['455', '118']
['227', '124']
['394', '811']
['159', '57']
['92', '333']
['732', '170']
['466', '76']
['982', '788']
['794', '72']
['369', '78']
['433', '722']
['845', '595']
['622', '948']
['892', '177']
['993', '929']
['678', '242']
['36', '324']
['157', '842']
['799', '182']
['438', '821']
['542', '606']
['990', '412']
['552', '270']
['733', '235']
['753', '359']
['229', '391']
['265', '73']
['210', '831']
['383', '529']
['395', '780']
['757', '406']
['44', '319']
['674', '711']
['505', '577']
['94', '511']
['96', '490']
['833', '702']
['446', '240']
['974', '975']
['504', '262']
['135', '815']
['152', '903']
['673', '207']
['293', '429']
['206', '428']
['320', '231']
['291', '422']
['220', '934']
['343', '703']
['299', '405']
['385', '648']
['667', '176']
['647', '18']
['491', '850']
['839', '879']
['398', '172']
['86', '316']
['337', '905']
['590', '287']
['692', '236']
['366', '989']
['812', '185']
['664', '909']
['978', '417']
['922', '826']
['548', '322']
['274', '492']
['662', '837']
['627', '251']
['166', '377']
['68', '494']
['657', '683']
['329', '35']
['147', '334']
['484', '384']
['651', '276']
['904', '145']
['628', '425']
['880', '49']
['832', '773']
['986', '643']
['570', '851']
['920', '688']
['927', '705']
['54', '864']
['752', '430']
['672', '168']
['744', '642']
['661', '149']
['825', '261']
['843', '304']
['232', '639']
['697', '774']
['279', '887']
['525', '540']
['888', '797']
['70', '500']
['528', '654']
['6', '188']
['1', '302']
['919', '660']
['312', '541']
['197', '623']
['772', '783']
['646', '536']
['866', '564']
['101', '520']
['380', '198']
['451', '482']
['561', '545']
['991', '875']
['285', '300']
['901', '876']
['550', '363']
['437', '277']
['268', '286']
['854', '460']
['539', '694']
['870', '112']
['634', '867']
['311', '136']
['882', '346']
['707', '604']
['730', '52']
['468', '513']
['546', '288']
['994', '471']
['817', '34']
['167', '816']
['308', '629']
['727', '682']
['640', '599']
['493', '573']
['585', '582']
['370', '396']
['938', '64']
['37', '680']
['43', '983']
['127', '777']
['82', '865']
['63', '495']
['335', '238']
['526', '509']
['192', '447']
['802', '847']
['470', '55']
['250', '103']
['226', '759']
['739', '714']
['995', '331']
['955', '79']
['503', '589']
['946', '603']
['301', '122']
['27', '65']
['160', '848']
['402', '709']
['162', '119']
['735', '871']
['698', '605']
['381', '258']
['760', '671']
['26', '878']
['997', '580']
['894', '375']
['984', '576']
['588', '935']
['367', '233']
['751', '592']
['51', '729']
['965', '598']
['126', '307']
['663', '93']
['11', '33']
['361', '750']
['69', '584']
['409', '449']
['80', '950']
['201', '617']
['874', '129']
['178', '138']
['544', '575']
['13', '527']
['968', '173']
['357', '943']
['581', '787']
['423', '75']
['613', '507']
['915', '104']
['600', '426']
['742', '782']
['7', '264']
['859', '852']
['310', '740']
['106', '221']
['962', '784']
['656', '964']
['763', '976']
['341', '386']
['263', '469']
['38', '517']
['516', '169']
['174', '248']
['120', '111']
['435', '924']
['658', '775']
['387', '766']
['372', '205']
['857', '401']
['371', '117']
['21', '618']
['148', '194']
['204', '42']
['932', '296']
['813', '419']
['0', '196']
['803', '98']
['768', '416']
['911', '133']
['913', '807']
['940', '926']
['858', '99']
['483', '638']
['59', '480']
['306', '579']
['269', '489']
['164', '408']
['972', '253']
['838', '954']
['332', '77']
['941', '952']
['445', '571']
['415', '289']
['140', '789']
['908', '315']
['116', '883']
['805', '769']
