['697', '634', '322', '215', '599', '440']
['607', '670', '171', '369', '608', '252']
['151', '278', '157', '323', '174', '5']
['21', '480', '16', '588', '538', '655']
['460', '362', '239', '619', '384', '458']
['543', '702', '330', '179', '403', '305']
['131', '115', '197', '316', '319', '426']
['222', '7', '399', '69', '520', '602']
['301', '103', '125', '302', '63', '306']
['351', '716', '584', '710', '689', '396']
['68', '695', '213', '456', '635', '51']
['418', '511', '493', '145', '24', '600']
['53', '289', '79', '473', '654', '304']
['163', '554', '558', '303', '541', '66']
['503', '395', '713', '270', '173', '639']
['294', '370', '54', '32', '138', '401']
['100', '73', '224', '119', '484', '275']
['188', '82', '150', '449', '505', '595']
['688', '677', '178', '102', '201', '692']
['116', '55', '382', '393', '89', '642']
['98', '364', '67', '574', '708', '638']
['140', '498', '517', '429', '501', '17']
['34', '189', '282', '147', '383', '450']
['379', '80', '427', '372', '513', '454']
['486', '337', '582', '339', '489', '690']
['31', '19', '49', '336', '261', '60']
['669', '126', '564', '706', '132', '315']
['621', '466', '299', '42', '390', '394']
['476', '687', '439', '565', '250', '405']
['549', '22', '378', '326', '423', '606']
['623', '525', '255', '331', '230', '86']
['640', '552', '329', '680', '714', '117']
['508', '533', '295', '190', '272', '262']
['625', '562', '385', '604', '307', '136']
['622', '705', '338', '576', '652', '475']
['392', '59', '247', '465', '514', '90']
['637', '39', '181', '521', '71', '431']
['11', '490', '373', '273', '23', '694']
['106', '715', '124', '707', '175', '114']
['256', '70', '130', '187', '335', '180']
['198', '30', '137', '227', '366', '583']
['663', '167', '553', '485', '445', '430']
['375', '597', '459', '631', '26', '81']
['693', '557', '309', '615', '365', '199']
['321', '33', '156', '267', '532', '229']
['438', '200', '99', '356', '78', '65']
['518', '193', '340', '257', '534', '56']
['38', '452', '643', '477', '577', '291']
['148', '8', '159', '371', '648', '653']
['419', '592', '610', '358', '668', '591']
['647', '674', '75', '542', '162', '209']
['280', '685', '348', '41', '342', '528']
['29', '447', '279', '556', '161', '318']
['495', '20', '225', '516', '242', '263']
['44', '472', '283', '571', '286', '105']
['149', '6', '432', '453', '414', '536']
['590', '164', '400', '192', '587', '718']
['245', '629', '686', '166', '519', '2']
['416', '221', '333', '546', '547', '646']
['593', '624', '408', '118', '662', '420']
['443', '212', '461', '15', '441', '155']
['346', '598', '334', '3', '398', '391']
['523', '494', '474', '121', '139', '203']
['74', '292', '455', '417', '344', '40']
['297', '83', '551', '120', '317', '128']
['681', '451', '72', '388', '184', '530']
['129', '254', '628', '259', '555', '236']
['444', '678', '298', '698', '0', '91']
['211', '703', '701', '133', '13', '563']
['234', '296', '510', '204', '308', '4']
['535', '43', '345', '696', '312', '374']
['616', '467', '195', '311', '585', '491']
['496', '478', '320', '288', '271', '633']
['531', '676', '220', '649', '596', '559']
['415', '144', '502', '381', '251', '386']
['210', '719', '219', '158', '548', '347']
['160', '97', '300', '509', '341', '313']
['355', '539', '360', '612', '540', '561']
['36', '237', '58', '123', '343', '206']
['46', '183', '76', '287', '277', '153']
['376', '185', '35', '354', '363', '328']
['481', '290', '524', '352', '110', '104']
['580', '260', '507', '645', '500', '691']
['223', '243', '594', '617', '667', '407']
['711', '537', '208', '657', '111', '377']
['127', '324', '264', '673', '218', '433']
['10', '479', '672', '641', '566', '235']
['436', '442', '172', '627', '231', '85']
['527', '314', '581', '226', '332', '656']
['47', '462', '402', '575', '194', '422']
['409', '464', '605', '265', '411', '216']
['368', '526', '567', '93', '389', '268']
['284', '404', '437', '357', '435', '665']
['397', '249', '651', '168', '380', '684']
['434', '52', '699', '413', '661', '424']
['48', '327', '545', '108', '504', '214']
['285', '64', '143', '682', '77', '88']
['57', '134', '632', '446', '113', '471']
['176', '112', '281', '350', '146', '96']
['387', '50', '679', '700', '241', '469']
['276', '87', '207', '240', '244', '182']
['603', '232', '310', '626', '186', '191']
['269', '468', '266', '248', '611', '630']
['154', '613', '325', '666', '497', '228']
['95', '618', '170', '659', '664', '9']
['660', '152', '349', '12', '499', '650']
['217', '644', '488', '483', '578', '568']
['141', '671', '361', '589', '522', '709']
['425', '142', '101', '570', '614', '1']
['506', '253', '448', '569', '658', '359']
['636', '274', '84', '165', '515', '92']
['196', '712', '620', '28', '412', '410']
['109', '675', '27', '367', '135', '470']
['683', '94', '421', '601', '233', '122']
['238', '492', '293', '246', '572', '586']
['61', '487', '14', '107', '609', '704']
['202', '544', '482', '37', '529', '512']
['573', '717', '550', '353', '205', '169']
['463', '25', '177', '457', '428', '18']
['62', '406', '258', '579', '560', '45']
