['476', '344', '466', '376', '989', '390', '167', '288', '181', '687', '58', '221', '799', '36', '610', '653', '672', '632', '924', '154', '613', '31', '891', '487', '242', '683', '355', '238', '845', '67', '631', '407', '860', '665', '278', '78', '338', '357', '173', '467', '575', '243', '380', '326', '982', '193', '527', '728', '581', '973', '556', '497', '920', '828', '775', '370', '756', '578', '382', '887', '189', '261', '597', '674', '275', '296', '870']
['985', '880', '676', '77', '5', '629', '898', '841', '888', '481', '205', '842', '669', '117', '573', '471', '159', '295', '503']
['747', '74', '367', '291', '854', '9', '463', '418', '281', '634', '817', '442', '733', '914', '264', '479', '996', '879', '305']
['511', '89', '897', '383', '695', '685', '458', '568', '943', '627', '286', '602', '306', '865', '256', '177', '752', '563', '433']
['754', '594', '149', '145', '753', '182', '802', '506', '722', '715', '847', '263', '148', '19', '565', '166', '582', '704', '905']
['446', '381', '666', '912', '160', '354', '423', '236', '910', '224', '387', '591', '644', '410', '440', '773', '745', '32', '447']
['550', '848', '308', '776', '336', '24', '271', '163', '22', '969', '810', '457', '678', '309', '616', '915', '356', '100', '979']
['919', '936', '107', '294', '413', '517', '993', '470', '965', '961', '618', '156', '47', '826', '750', '64', '318', '825', '212']
['116', '388', '761', '947', '254', '66', '778', '571', '65', '624', '104', '404', '106', '56', '402', '890', '561', '405', '791']
['604', '186', '432', '2', '526', '675', '121', '611', '468', '195', '54', '660', '26', '241', '699', '134', '721', '438', '187']
['605', '916', '138', '564', '785', '52', '736', '889', '512', '907', '141', '112', '362', '995', '258', '334', '270', '714', '529']
['628', '59', '342', '53', '716', '325', '549', '938', '299', '11', '562', '491', '544', '851', '379', '948', '498', '247', '174']
['576', '663', '927', '643', '151', '923', '260', '111', '183', '430', '33', '812', '1', '684', '525', '541', '843', '140', '950']
['161', '958', '110', '694', '693', '469', '587', '16', '99', '330', '608', '786', '108', '680', '321', '737', '901', '635', '178']
['762', '593', '926', '921', '57', '266', '655', '147', '974', '630', '883', '316', '331', '451', '626', '872', '759', '946', '315']
['393', '972', '642', '158', '377', '414', '689', '902', '657', '61', '507', '819', '319', '255', '925', '265', '744', '124', '313']
['656', '272', '548', '531', '971', '518', '532', '109', '711', '719', '219', '725', '204', '670', '853', '998', '844', '97', '164']
['353', '274', '832', '63', '796', '332', '949', '310', '863', '510', '850', '408', '835', '688', '340', '114', '50', '766', '455']
['708', '17', '209', '119', '490', '227', '934', '495', '320', '420', '560', '590', '4', '659', '855', '768', '732', '784', '913']
['392', '552', '968', '857', '701', '191', '45', '858', '144', '502', '375', '429', '513', '580', '444', '783', '862', '533', '424']
['348', '248', '39', '572', '10', '649', '150', '515', '113', '749', '959', '75', '70', '488', '385', '537', '955', '574', '767']
['505', '69', '999', '0', '771', '91', '210', '88', '314', '614', '18', '311', '7', '720', '439', '963', '214', '250', '625']
['677', '764', '945', '760', '226', '940', '933', '780', '994', '622', '449', '142', '190', '143', '944', '427', '169', '876', '739']
['584', '28', '30', '81', '496', '201', '317', '391', '686', '588', '101', '349', '746', '92', '540', '118', '453', '329', '40']
['638', '798', '570', '849', '904', '838', '875', '534', '988', '730', '763', '612', '215', '770', '896', '20', '569', '957', '6']
['816', '577', '62', '528', '228', '682', '292', '735', '131', '218', '873', '523', '180', '364', '815', '536', '658', '691', '139', '307']
['165', '800', '230', '706', '751', '365', '293', '358', '436', '727', '401', '312', '197', '234', '185', '454', '122', '384', '881']
['3', '279', '412', '359', '697', '899', '79', '557', '801', '769', '361', '168', '617', '335', '866', '661', '639', '474', '595']
['516', '789', '806', '504', '551', '990', '343', '352', '303', '830', '755', '818', '277', '123', '774', '389', '805', '225', '707']
['928', '917', '647', '301', '477', '223', '829', '416', '726', '443', '246', '668', '485', '790', '43', '856', '654', '94', '671']
['637', '15', '396', '981', '437', '480', '640', '216', '431', '55', '554', '126', '268', '667', '986', '700', '472', '192', '690']
['445', '304', '184', '287', '82', '864', '648', '808', '792', '966', '822', '450', '868', '86', '962', '175', '931', '723', '906']
['302', '741', '991', '583', '970', '743', '710', '633', '952', '596', '827', '13', '941', '462', '547', '740', '992', '297', '452']
['493', '494', '125', '68', '115', '350', '641', '885', '803', '535', '196', '586', '170', '964', '133', '553', '229', '475', '545']
['824', '975', '650', '434', '718', '652', '71', '222', '409', '252', '651', '188', '615', '922', '636', '918', '34', '473', '978']
['606', '861', '411', '339', '76', '245', '779', '417', '220', '662', '742', '935', '282', '128', '702', '415', '284', '757', '758']
['734', '179', '363', '298', '538', '49', '259', '814', '820', '558', '283', '465', '38', '289', '788', '60', '871', '937', '323']
