['190', '533', '24', '653', '474', '249', '660', '288', '453', '669', '558', '213', '99', '195', '51', '718', '584', '252', '316', '319', '467', '311', '357', '697', '66', '256', '268', '194', '199', '365', '596', '63', '366', '457', '726', '465', '167', '482', '445', '520']
['230', '480', '133', '294', '158', '432', '550', '388', '124', '549', '143', '441', '146', '203', '88', '571', '259', '260', '418', '353', '248', '46', '165', '361', '572', '351', '515', '152', '327', '412', '86', '317', '468', '397', '426', '76', '325', '346', '534', '272']
['140', '120', '416', '270', '419', '305', '472', '89', '409', '722', '326', '544', '733', '517', '619', '519', '575', '581', '83', '493']
['535', '674', '322', '723', '442', '101', '450', '600', '454', '161', '330', '667', '119', '196', '110', '299', '218', '504', '390', '599', '47', '77', '699', '566', '462', '144', '142', '298', '347', '623', '381', '479', '216', '439', '251', '716', '393', '41', '489', '415']
['555', '227', '514', '678', '125', '580', '169', '370', '295', '121', '318', '17', '87', '537', '198', '570', '329', '633', '122', '488', '657', '586', '109', '223', '460', '177', '145', '360', '8', '685', '683', '387', '241', '646', '637', '106', '209', '688', '97', '389']
['16', '9', '401', '481', '265', '130', '349', '661', '434', '727', '621', '639', '367', '603', '690', '164', '257', '235', '283', '502', '625', '650', '470', '293', '538', '717', '29', '263', '321', '512', '429', '565', '738', '222', '310', '693', '138', '524', '494', '556']
['577', '207', '511', '578', '262', '736', '73', '593', '201', '731', '22', '149', '336', '220', '352', '396', '56', '75', '48', '714', '179', '531', '562', '608', '228', '208', '0', '67', '644', '182', '673', '449', '178', '677', '414', '672', '609', '306', '18', '11']
['128', '734', '614', '547', '253', '229', '507', '290', '79', '719', '497', '255', '568', '448', '444', '658', '695', '57', '147', '403', '40', '300', '14', '276', '210', '80', '557', '379', '438', '501', '394', '44', '28', '503', '655', '92', '576', '702', '334', '708']
['340', '456', '103', '536', '589', '153', '200', '701', '289', '72', '598', '371', '323', '282', '398', '391', '359', '261', '297', '19', '94', '96', '214', '126', '595', '630', '404', '238', '95', '499', '171', '632', '162', '431', '613', '26', '307', '553', '569', '275']
['516', '312', '680', '670', '284', '518', '137', '313', '219', '563', '303', '606', '506', '286', '188', '668', '659', '663', '154', '636', '335', '211', '277', '237', '384', '55', '525', '698', '30', '273', '215', '328', '612', '466', '505', '172', '594', '320', '34', '395']
['373', '664', '374', '725', '217', '3', '687', '486', '710', '308', '455', '417', '81', '364', '20', '292', '108', '400', '542', '202', '174', '405', '616', '425', '402', '84', '579', '205', '383', '681', '665', '82', '712', '344', '363', '37', '181', '5', '422', '168']
['278', '509', '243', '464', '197', '38', '105', '156', '356', '189', '301', '724', '406', '476', '134', '622', '15', '71', '411', '648', '129', '473', '427', '236', '694', '302', '554', '651', '541', '423', '705', '721', '378', '461', '33', '90', '148', '628', '666', '254']
['50', '226', '65', '564', '591', '204', '333', '355', '221', '607', '469', '131', '62', '559', '43', '280', '332', '386', '113', '64', '676', '620', '331', '428', '545', '159', '407', '242', '631', '70', '447', '45', '551', '530', '348', '184', '309', '707', '175', '114']
['500', '408', '484', '186', '498', '115', '435', '582', '49', '573', '354', '729', '508', '640', '610', '478', '358', '279', '656', '59', '78', '116', '31', '385', '7', '392', '368', '561', '540', '617', '267', '592', '342', '314', '446', '548', '671', '350', '510', '25']
['54', '337', '180', '117', '170', '711', '713', '112', '132', '560', '100', '240', '232', '684', '35', '513', '166', '315', '645', '720', '522', '160', '193', '496', '183', '296', '6', '662', '437', '250', '32', '638', '339', '60', '521', '686', '372', '74', '341', '567']
['597', '13', '495', '583', '123', '246', '324', '590', '239', '627', '624', '93', '69', '527', '635', '641', '588', '61', '463', '376', '102', '642', '587', '127', '10', '382', '604', '626', '271', '163', '696', '643', '244', '491', '539', '605', '266', '104', '2', '42']
['691', '399', '173', '485', '703', '689', '4', '274', '430', '212', '85', '654', '304', '91', '452', '615', '490', '23', '136', '234', '247', '150', '471', '443', '192', '375', '185', '225', '343', '258', '532', '264', '739', '285', '231', '206', '157', '345', '176', '706']
['732', '107', '459', '224', '155', '36', '451', '245', '574', '552', '21', '421', '380', '526', '135', '618', '529', '546', '611', '281', '704', '410', '601', '477', '287', '652', '52', '98', '27', '679', '700', '475', '191', '233', '675', '139', '369', '291', '187', '682']
['12', '338', '1', '362', '458', '647', '151', '68', '737', '730', '487', '269', '602', '413', '585', '141', '436', '433', '735', '440', '111', '634', '377', '692', '709', '118', '629', '58', '523', '728', '53', '649', '715', '528', '483', '492', '39', '424', '543', '420']
