['256', '358', '29', '569', '566', '236', '721', '748', '466', '578', '704', '76', '724', '405', '56', '380', '487', '703', '478', '605', '132', '63', '278', '754', '558', '469', '454', '303', '665', '608', '38', '359']
['587', '429', '237', '133', '341', '467', '711', '39', '726', '240', '276', '725', '52', '293', '194', '141', '36', '272', '252', '122', '184', '442', '752', '78', '773', '764', '274', '211', '50', '459', '607', '567']
['734', '283', '672', '167', '535', '83', '684', '353', '294', '174', '512', '192', '326', '682', '203', '452', '219', '576', '157', '654', '127', '31', '0', '227', '172', '797', '10', '517', '390', '504', '321', '489']
['68', '355', '683', '342', '533', '161', '324', '759', '90', '93', '351', '81', '137', '790', '244', '760', '552', '349', '477', '710', '537', '99', '70', '673', '128', '409', '720', '146', '282', '258', '269', '417']
['693', '581', '515', '250', '375', '546', '296', '144', '586', '585', '160', '731', '104', '241', '393', '433', '249', '496', '311', '325', '600', '75', '117', '181', '223', '372', '629', '603', '109', '505', '595', '484']
['564', '251', '216', '267', '281', '718', '228', '139', '382', '761', '205', '121', '774', '783', '675', '444', '286', '717', '234', '389', '202', '204', '618', '14', '79', '61', '601', '142', '427', '468', '458', '651']
['45', '647', '688', '753', '44', '416', '18', '384', '302', '771', '572', '445', '643', '329', '702', '435', '563', '579', '644', '694', '560', '270', '687', '502', '383', '540', '238', '421', '400', '529', '426', '166']
['295', '318', '261', '263', '152', '170', '304', '257', '743', '577', '207', '664', '658', '503', '526', '27', '784', '242', '692', '571', '735', '262', '305', '513', '757', '447', '555', '660', '778', '292', '614', '545']
['13', '740', '55', '100', '707', '785', '620', '168', '592', '574', '3', '71', '191', '140', '235', '275', '727', '320', '551', '690', '486', '561', '108', '418', '357', '755', '779', '5', '290', '768', '226', '751']
['369', '781', '622', '34', '796', '159', '350', '714', '473', '738', '169', '494', '674', '277', '407', '119', '6', '670', '729', '176', '24', '177', '198', '280', '700', '87', '265', '96', '635', '479', '165', '706']
['412', '229', '678', '575', '1', '190', '59', '273', '297', '480', '209', '424', '715', '222', '345', '366', '497', '69', '606', '101', '15', '470', '648', '482', '365', '776', '508', '446', '199', '74', '638', '391']
['548', '107', '775', '556', '449', '590', '549', '697', '62', '777', '131', '300', '9', '328', '301', '661', '671', '610', '763', '583', '557', '518', '185', '767', '616', '475', '695', '97', '685', '631', '422', '316']
['401', '106', '511', '593', '35', '528', '291', '114', '434', '483', '611', '399', '197', '20', '381', '271', '397', '42', '246', '84', '450', '125', '645', '527', '118', '741', '500', '233', '136', '64', '347', '85']
['728', '495', '323', '490', '591', '419', '336', '163', '135', '16', '476', '541', '621', '519', '758', '791', '414', '539', '461', '60', '739', '247', '12', '691', '314', '453', '507', '378', '431', '26', '285', '371']
['602', '627', '705', '313', '640', '335', '594', '550', '457', '559', '619', '65', '722', '245', '462', '769', '8', '392', '524', '623', '28', '441', '547', '604', '679', '509', '368', '493', '387', '298', '536', '386']
['523', '317', '213', '765', '415', '404', '364', '501', '171', '634', '110', '268', '183', '786', '288', '206', '428', '331', '362', '279', '134', '680', '319', '491', '437', '411', '596', '201', '455', '589', '737', '780']
['388', '443', '530', '367', '11', '413', '178', '153', '394', '215', '374', '377', '322', '92', '143', '746', '712', '789', '460', '57', '464', '655', '182', '750', '667', '626', '162', '120', '264', '361', '19', '4']
['732', '113', '156', '58', '306', '420', '356', '22', '43', '196', '188', '637', '145', '46', '327', '248', '723', '609', '307', '95', '147', '123', '792', '463', '115', '2', '639', '112', '340', '232', '636', '253']
['40', '94', '343', '154', '617', '111', '360', '53', '787', '330', '103', '408', '370', '471', '344', '410', '438', '474', '432', '632', '652', '376', '793', '663', '149', '588', '472', '224', '701', '332', '102', '116']
['151', '699', '744', '423', '448', '599', '598', '333', '762', '225', '284', '584', '534', '713', '130', '543', '736', '195', '653', '338', '105', '451', '86', '315', '782', '385', '570', '666', '155', '379', '354', '259']
['398', '66', '310', '266', '686', '649', '254', '48', '289', '488', '88', '436', '510', '516', '538', '395', '770', '465', '794', '733', '532', '138', '150', '299', '37', '646', '698', '554', '312', '396', '799', '337']
['51', '506', '212', '650', '481', '624', '23', '21', '67', '657', '749', '41', '243', '175', '613', '668', '25', '719', '798', '210', '565', '187', '148', '642', '334', '231', '218', '625', '531', '346', '200', '308']
['615', '255', '173', '260', '709', '745', '514', '239', '89', '772', '164', '522', '373', '542', '580', '568', '220', '492', '430', '525', '193', '456', '669', '189', '795', '309', '742', '33', '403', '708', '662', '339']
['633', '553', '54', '208', '406', '696', '676', '439', '49', '180', '597', '747', '91', '80', '544', '47', '214', '425', '498', '98', '788', '641', '656', '440', '352', '77', '348', '186', '630', '677', '521', '730']
['158', '7', '499', '32', '612', '756', '179', '562', '287', '520', '402', '628', '689', '30', '126', '766', '124', '73', '17', '129', '659', '485', '573', '681', '363', '582', '221', '716', '72', '217', '230', '82']
