['439', '761', '638']
['829', '434', '306']
['542', '40', '369']
['670', '837', '305']
['668', '403', '815']
['863', '707', '962']
['768', '912', '637']
['843', '276', '435']
['320', '538', '608']
['336', '472', '780']
['740', '621', '674']
['825', '412', '727']
['531', '534', '80']
['834', '824', '488']
['253', '150', '127']
['381', '756', '471']
['734', '258', '154']
['329', '277', '783']
['791', '57', '400']
['996', '651', '541']
['54', '564', '344']
['293', '423', '197']
['66', '327', '841']
['121', '210', '499']
['479', '308', '95']
['681', '632', '209']
['789', '570', '161']
['706', '957', '685']
['441', '613', '431']
['182', '229', '28']
['31', '509', '886']
['713', '982', '362']
['178', '60', '867']
['386', '203', '418']
['454', '871', '821']
['139', '323', '379']
['304', '171', '146']
['985', '710', '687']
['497', '794', '816']
['735', '998', '225']
['505', '614', '765']
['545', '141', '237']
['968', '407', '91']
['224', '394', '880']
['852', '732', '677']
['216', '568', '359']
['109', '591', '448']
['147', '270', '12']
['695', '349', '142']
['537', '47', '75']
['646', '468', '92']
['437', '575', '48']
['959', '644', '291']
['657', '0', '650']
['785', '500', '593']
['939', '201', '978']
['666', '397', '731']
['462', '737', '753']
['714', '401', '759']
['712', '341', '426']
['628', '207', '483']
['999', '242', '452']
['491', '495', '583']
['859', '615', '490']
['921', '185', '123']
['884', '375', '793']
['482', '770', '110']
['328', '74', '617']
['626', '260', '263']
['376', '30', '723']
['480', '624', '440']
['55', '433', '627']
['623', '932', '436']
['335', '966', '934']
['835', '83', '922']
['597', '23', '849']
['296', '508', '952']
['256', '830', '928']
['268', '786', '373']
['459', '589', '315']
['199', '221', '625']
['923', '337', '180']
['314', '406', '521']
['986', '879', '883']
['784', '105', '931']
['11', '523', '464']
['860', '415', '192']
['173', '238', '125']
['906', '164', '571']
['223', '502', '556']
['151', '346', '330']
['438', '554', '14']
['689', '432', '823']
['4', '950', '964']
['606', '128', '71']
['506', '183', '865']
['634', '39', '181']
['274', '156', '949']
['286', '578', '275']
['321', '752', '273']
['430', '776', '262']
['445', '746', '831']
['633', '84', '24']
['900', '247', '234']
['196', '782', '728']
['836', '126', '774']
['413', '143', '187']
['365', '59', '450']
['457', '282']
['284', '656']
['561', '667', '353']
['540', '580', '334']
['612', '851', '405']
['844', '153', '356']
['360', '302', '515']
['278', '460', '711']
['715', '822', '652']
['294', '243', '484']
['350', '200', '119']
['267', '987', '984']
['769', '299', '116']
['368', '86', '901']
['592', '995', '511']
['827', '944', '68']
['158', '610', '331']
['528', '163', '736']
['721', '955', '524']
['342', '215', '67']
['605', '619', '230']
['820', '162', '553']
['44', '868', '307']
['251', '530', '682']
['878', '443', '416']
['520', '611', '477']
['456', '661', '486']
['396', '56', '842']
['17', '751', '385']
['22', '890', '925']
['596', '547', '101']
['795', '174', '819']
['63', '107', '565']
['773', '907', '532']
['219', '989', '152']
['803', '688', '507']
['766', '917', '967']
['137', '189', '292']
['796', '228', '603']
['366', '202', '87']
['13', '419', '280']
['466', '892', '858']
['726', '562', '658']
['893', '672', '211']
['514', '16', '325']
['864', '470', '616']
['609', '475', '655']
['380', '62', '971']
['937', '1', '414']
['167', '78', '136']
['525', '899', '904']
['920', '669', '259']
['61', '887', '70']
['543', '33', '19']
['313', '72', '9']
['303', '429', '958']
['474', '924', '446']
['518', '566', '691']
['699', '519', '801']
['848', '581', '826']
['117', '764', '461']
['231', '988', '745']
['85', '69', '212']
['481', '498', '392']
['898', '144', '254']
['748', '992', '929']
['763', '973', '814']
['206', '106', '45']
['2', '363', '977']
['285', '108', '410']
['719', '64', '762']
['698', '704', '504']
['157', '160', '914']
['635', '549', '447']
['345', '333', '604']
['749', '371', '648']
