['537', '334', '162', '470', '464', '693', '9']
['75', '577', '636', '135', '564', '322', '34']
['538', '174', '11', '581', '240', '428', '293']
['466', '469', '84', '413', '213', '278', '584']
['484', '299', '71', '41', '371', '289', '651']
['59', '623', '260', '175', '146', '36', '427']
['202', '676', '500', '560', '4', '399', '95']
['527', '48', '97', '517', '326', '661', '365']
['407', '346', '658', '490', '600', '603', '286']
['67', '24', '140', '446', '151', '557', '591']
['338', '219', '93', '228', '649', '33', '17']
['43', '550', '256', '599', '282', '657', '234']
['310', '558', '212', '497', '325', '51', '362']
['285', '545', '107', '609', '163', '108', '264']
['301', '480', '321', '509', '237', '426', '255']
['698', '699', '224', '594', '374', '245', '420']
['272', '53', '312', '273', '287', '383', '156']
['336', '72', '552', '579', '251', '583', '625']
['31', '370', '601', '458', '200', '354', '292']
['424', '508', '621', '261', '291', '442', '629']
['205', '160', '616', '663', '406', '66', '395']
['622', '659', '586', '226', '592', '232', '119']
['440', '305', '317', '26', '468', '6', '645']
['540', '126', '555', '257', '307', '54', '78']
['142', '279', '259', '475', '669', '173', '633']
['280', '589', '542', '80', '606', '225', '635']
['91', '311', '133', '182', '648', '170', '671']
['350', '363', '554', '227', '501', '493', '502']
['14', '27', '23', '434', '275', '611', '638']
['680', '85', '561', '172', '161', '588', '274']
['199', '357', '396', '461', '549', '337', '457']
['386', '242', '217', '185', '578', '20', '309']
['221', '628', '492', '536', '316', '47', '397']
['381', '436', '573', '143', '248', '263', '18']
['265', '376', '153', '418', '35', '394', '435']
['521', '166', '223', '113', '569', '44', '368']
['335', '548', '114', '491', '523', '486', '296']
['530', '144', '183', '21', '244', '668', '367']
['667', '454', '349', '68', '562', '443', '448']
['253', '439', '359', '630', '204', '504', '177']
['544', '596', '441', '45', '547', '533', '188']
['100', '590', '12', '306', '585', '652', '471']
['389', '58', '56', '670', '102', '77', '262']
['103', '613', '61', '580', '169', '514', '572']
['690', '641', '198', '271', '646', '495', '559']
['110', '570', '154', '128', '206', '683', '195']
['654', '46', '82', '55', '587', '121', '516']
['422', '511', '678', '210', '193', '662', '401']
['220', '258', '344', '247', '70', '176', '39']
['281', '626', '3', '60', '433', '568', '534']
['238', '445', '393', '138', '356', '106', '551']
['619', '243', '378', '691', '689', '117', '294']
['453', '423', '134', '411', '340', '410', '112']
['15', '602', '518', '303', '507', '513', '398']
['197', '553', '385', '13', '139', '653', '617']
['387', '284', '498', '388', '679', '65', '447']
['477', '605', '660', '576', '416', '302', '643']
['351', '214', '231', '402', '339', '90', '405']
['369', '132', '94', '666', '419', '122', '249']
['180', '300', '63', '567', '686', '543', '563']
['647', '327', '187', '361', '189', '235', '494']
['38', '373', '627', '308', '203', '415', '331']
['375', '437', '276', '358', '283', '328', '86']
['425', '201', '465', '478', '123', '384', '330']
['136', '515', '52', '353', '444', '2', '158']
['149', '408', '157', '22', '252', '159', '459']
['687', '164', '127', '190', '28', '168', '656']
['598', '474', '595', '582', '268', '137', '37']
['390', '236', '246', '449', '345', '57', '120']
['215', '254', '42', '218', '541', '450', '392']
['25', '352', '529', '685', '69', '531', '526']
['295', '634', '675', '348', '510', '496', '83']
['313', '366', '131', '379', '62', '506', '684']
['522', '99', '483', '674', '429', '462', '186']
['241', '455', '607', '208', '618', '89', '655']
['266', '341', '614', '697', '372', '692', '430']
['631', '620', '333', '194', '412', '615', '546']
['404', '19', '178', '101', '64', '512', '81']
['277', '239', '456', '612', '472', '640', '92']
['74', '318', '222', '520', '184', '315', '1']
['476', '519', '604', '539', '98', '342', '109']
['528', '332', '87', '40', '145', '673', '115']
['482', '535', '304', '125', '0', '391', '644']
['452', '181', '481', '50', '73', '167', '320']
['329', '409', '489', '196', '637', '319', '270']
['597', '211', '29', '8', '503', '505', '105']
['431', '682', '288', '269', '432', '233', '574']
['624', '677', '479', '152', '7', '421', '297']
['347', '10', '30', '192', '355', '130', '32']
['104', '5', '400', '672', '565', '524', '571']
['124', '382', '694', '141', '111', '360', '147']
['290', '79', '403', '76', '165', '499', '96']
['525', '314', '417', '323', '532', '642', '650']
['460', '229', '377', '209', '451', '179', '324']
['16', '216', '639', '364', '593', '267', '610']
['463', '556', '118', '414', '688', '250', '681']
['488', '438', '155', '298', '150', '608', '207']
['343', '664', '566', '230', '485', '49', '487']
['695', '116', '129', '148', '473', '665', '467']
['88', '696', '380', '171', '632', '575', '191']
