['265', '74', '664', '478', '334', '466', '215', '2', '496', '413', '105', '183', '93', '140', '629', '313', '640', '562', '322', '574', '146', '524', '557', '142', '72', '33', '665', '156', '733', '311']
['488', '668', '738', '368', '92', '281', '548', '537', '420', '259', '285', '648', '674', '686', '147', '551', '628', '55', '216', '681', '624', '102', '621', '395', '476', '538', '162', '196', '454', '498']
['614', '433', '362', '513', '11', '427', '687', '385', '17', '30', '264', '570', '128', '581', '19', '434', '465', '392', '436', '358', '387', '739', '539', '318', '411', '178', '353', '335', '722', '726']
['296', '486', '261', '248', '593', '545', '83', '1', '617', '632', '595', '10', '115', '511', '67', '287', '568', '590', '388', '71', '53', '202', '540', '136', '356', '118', '234', '589', '73', '371']
['343', '293', '61', '273', '525', '680', '530', '440', '355', '103', '695', '653', '622', '552', '22', '206', '718', '161', '634', '449', '588', '290', '249', '556', '138', '204', '41', '344', '605', '338']
['422', '39', '611', '7', '351', '177', '662', '50', '123', '740', '364', '682', '116', '522', '328', '207', '425', '652', '238', '584', '302', '691', '467', '175', '416', '94', '294', '734', '227', '135']
['37', '87', '205', '125', '736', '256', '75', '510', '613', '9', '32', '694', '91', '226', '173', '80', '366', '671', '699', '222', '730', '491', '158', '186', '586', '645', '326', '277', '190', '25']
['200', '408', '534', '493', '448', '43', '517', '601', '258', '279', '150', '444', '354', '610', '693', '399', '472', '656', '6', '225', '49', '129', '242', '714', '544', '571', '599', '180', '104', '160']
['99', '174', '255', '512', '321', '689', '533', '219', '144', '77', '481', '606', '44', '685', '415', '373', '360', '531', '329', '616', '292', '347', '479', '276', '223', '688', '719', '474', '446', '96']
['267', '724', '582', '696', '612', '189', '308', '283', '421', '482', '117', '555', '404', '471', '659', '8', '620', '490', '578', '159', '500', '592', '460', '418', '405', '485', '603', '151', '90', '208']
['523', '332', '21', '126', '331', '268', '269', '327', '314', '236', '229', '717', '201', '40', '214', '644', '262', '675', '543', '101', '667', '168', '706', '587', '429', '615', '45', '16', '306', '431']
['109', '54', '228', '666', '450', '341', '210', '565', '230', '46', '678', '397', '469', '235', '375', '233', '299', '330', '70', '507', '591', '546', '254', '452', '247', '197', '114', '455', '569', '707']
['672', '62', '152', '749', '176', '489', '295', '149', '709', '297', '38', '345', '475', '600', '499', '518', '636', '690', '141', '607', '732', '191', '280', '120', '130', '704', '63', '660', '529', '182']
['100', '453', '317', '346', '288', '134', '535', '155', '107', '649', '97', '580', '579', '697', '423', '312', '374', '143', '286', '212', '692', '731', '5', '108', '27', '547', '119', '635', '310', '300']
['742', '36', '627', '721', '462', '393', '250', '84', '217', '677', '26', '324', '110', '495', '148', '609', '381', '89', '203', '560', '169', '163', '260', '651', '298', '127', '702', '480', '384', '65']
['745', '567', '239', '654', '145', '275', '532', '401', '743', '284', '698', '218', '727', '663', '31', '171', '124', '432', '563', '451', '57', '554', '558', '0', '679', '497', '746', '184', '323', '470']
['82', '133', '403', '47', '252', '241', '69', '340', '157', '608', '468', '419', '170', '85', '274', '409', '220', '647', '438', '711', '380', '188', '194', '367', '307', '349', '643', '684', '576', '585']
['744', '172', '192', '406', '398', '337', '106', '630', '263', '166', '683', '211', '154', '185', '209', '443', '339', '271', '602', '716', '658', '378', '42', '439', '506', '583', '13', '198', '646', '95']
['113', '86', '604', '527', '463', '428', '289', '549', '363', '319', '494', '713', '372', '23', '492', '741', '577', '139', '516', '272', '352', '715', '536', '484', '376', '253', '747', '661', '231', '179']
['464', '435', '509', '132', '309', '386', '572', '181', '68', '457', '737', '29', '98', '619', '673', '79', '705', '670', '303', '377', '417', '456', '641', '710', '626', '164', '541', '618', '165', '153']
['561', '502', '650', '348', '81', '122', '657', '193', '383', '597', '458', '459', '437', '237', '76', '655', '550', '389', '66', '3', '304', '4', '369', '195', '633', '594', '137', '301', '15', '400']
['708', '514', '701', '18', '447', '131', '508', '424', '564', '407', '28', '305', '430', '473', '232', '598', '461', '519', '637', '410', '78', '291', '639', '257', '51', '669', '14', '477', '725', '441']
['728', '676', '700', '266', '542', '370', '60', '748', '483', '559', '213', '58', '167', '12', '336', '251', '642', '316', '553', '394', '723', '504', '631', '224', '34', '315', '521', '270', '575', '487']
['333', '320', '501', '528', '520', '623', '729', '720', '325', '625', '442', '390', '638', '112', '526', '52', '282', '712', '382', '357', '246', '503', '35', '359', '240', '88', '56', '396', '64', '24']
['199', '221', '121', '48', '244', '573', '402', '412', '426', '445', '342', '596', '505', '391', '20', '379', '566', '59', '703', '361', '187', '735', '278', '515', '350', '365', '245', '111', '414', '243']
