['604', '425', '475', '795']
['856', '932', '923', '479']
['662', '9', '911', '285']
['158', '622', '589', '559']
['525', '515', '570', '188']
['854', '382', '56', '688']
['337', '509', '227', '612']
['267', '684', '415', '810']
['710', '468', '698', '250']
['880', '120', '61', '632']
['463', '110', '74', '69']
['739', '194', '545', '510']
['905', '528', '693', '822']
['201', '782', '354', '70']
['107', '197', '855', '155']
['431', '700', '423', '627']
['181', '214', '404', '869']
['821', '505', '59', '229']
['677', '15', '876', '796']
['712', '53', '49', '670']
['467', '43', '436', '659']
['628', '875', '794', '353']
['91', '473', '924', '485']
['492', '248', '332', '858']
['349', '87', '360', '263']
['867', '305', '318', '892']
['697', '730', '131', '336']
['237', '396', '427', '512']
['388', '674', '847', '257']
['323', '453', '683', '369']
['68', '455', '643', '302']
['592', '266', '897', '402']
['864', '576', '146', '734']
['480', '775', '55', '841']
['478', '574', '774', '702']
['23', '925', '889', '3']
['486', '179', '78', '954']
['824', '736', '602', '610']
['217', '222', '439', '395']
['893', '245', '935', '202']
['271', '133', '428', '20']
['16', '886', '190', '649']
['657', '792', '555', '692']
['90', '637', '113', '212']
['561', '783', '367', '374']
['523', '833', '595', '594']
['108', '578', '691', '62']
['251', '798', '221', '1']
['830', '725', '499', '723']
['767', '207', '866', '506']
['629', '933', '948', '817']
['511', '787', '174', '24']
['916', '172', '885', '531']
['571', '391', '834', '334']
['532', '544', '791', '216']
['944', '827', '526', '752']
['713', '393', '118', '390']
['803', '164', '680', '171']
['143', '853', '773', '278']
['477', '549', '474', '27']
['900', '389', '445', '500']
['36', '230', '193', '219']
['109', '577', '289', '603']
['103', '704', '41', '34']
['715', '63', '220', '838']
['233', '154', '745', '137']
['806', '365', '82', '432']
['186', '516', '426', '46']
['280', '918', '408', '552']
['619', '862', '464', '694']
['843', '223', '433', '947']
['759', '315', '412', '811']
['460', '258', '653', '524']
['112', '832', '779', '554']
['597', '361', '797', '420']
['566', '861', '182', '320']
['896', '64', '701', '149']
['26', '936', '156', '655']
['605', '333', '837', '613']
['371', '586', '750', '764']
