['848', '927', '578', '236', '105']
['769', '934', '847', '257', '554']
['466', '216', '65', '838', '157']
['857', '325', '463', '421', '868']
['796', '991', '811', '839', '499']
['474', '2', '681', '304', '444']
['442', '230', '103', '48', '371']
['162', '349', '286', '832', '649']
['485', '720', '980', '830', '599']
['41', '843', '675', '329', '894']
['22', '622', '614', '760', '130']
['347', '264', '913', '860', '664']
['282', '158', '90', '354', '609']
['669', '296', '813', '709', '266']
['601', '260', '594', '111', '754']
['398', '376', '238', '644', '514']
['425', '234', '836', '78', '312']
['445', '478', '850', '83', '806']
['10', '872', '696', '787', '458']
['905', '192', '688', '566', '505']
['895', '617', '448', '30', '833']
['459', '443', '97', '403', '320']
['977', '412', '227', '879', '886']
['397', '717', '246', '679', '449']
['831', '235', '492', '37', '635']
['674', '204', '252', '149', '506']
['735', '711', '428', '101', '759']
['124', '560', '380', '368', '633']
['870', '160', '309', '513', '370']
['925', '408', '795', '683', '17']
['883', '553', '859', '598', '908']
['91', '208', '291', '600', '626']
['946', '707', '858', '487', '507']
['936', '0', '50', '658', '415']
['358', '177', '611', '332', '156']
['933', '704', '1', '139', '15']
['146', '84', '522', '990', '441']
['281', '99', '818', '203', '756']
['968', '558', '501', '166', '348']
['70', '481', '667', '51', '723']
['700', '245', '100', '815', '823']
['519', '462', '917', '974', '489']
['919', '479', '117', '973', '262']
['515', '467', '356', '493', '569']
['969', '334', '605', '801', '921']
['502', '666', '632', '910', '189']
['241', '939', '817', '292', '740']
['159', '716', '812', '120', '695']
['333', '862', '736', '761', '464']
['892', '985', '122', '935', '297']
['808', '413', '361', '949', '364']
['33', '694', '983', '372', '734']
['280', '219', '110', '132', '524']
['407', '126', '746', '336', '125']
['68', '665', '900', '409', '496']
['116', '416', '16', '457', '460']
['884', '359', '875', '382', '176']
['21', '316', '733', '381', '118']
['226', '563', '217', '623', '526']
['301', '786', '975', '43', '187']
['317', '764', '45', '121', '586']
['802', '510', '400', '775', '998']
['62', '183', '745', '903', '251']
['353', '47', '346', '651', '422']
['300', '276', '799', '383', '452']
['401', '509', '243', '749', '8']
['825', '129', '906', '752', '544']
['535', '53', '584', '477', '233']
['532', '171', '727', '363', '616']
['979', '77', '148', '539', '66']
['826', '655', '472', '834', '849']
['394', '54', '25', '986', '686']
['773', '540', '202', '588', '757']
['570', '758', '52', '221', '930']
['388', '706', '167', '231', '610']
['882', '652', '624', '608', '779']
['966', '565', '725', '147', '774']
['345', '38', '351', '470', '878']
['220', '138', '607', '161', '898']
['404', '771', '923', '957', '469']
['322', '835', '780', '277', '36']
['418', '981', '307', '533', '42']
['703', '75', '576', '283', '948']
['331', '249', '793', '163', '340']
['837', '685', '299', '865', '344']
['852', '374', '222', '639', '766']
['61', '583', '106', '992', '73']
['521', '885', '495', '964', '788']
['978', '369', '429', '3', '175']
['770', '377', '807', '841', '140']
['789', '293', '643', '840', '537']
['845', '74', '194', '944', '59']
['471', '430', '174', '829', '306']
['810', '842', '571', '587', '591']
['242', '627', '546', '275', '538']
['937', '258', '901', '595', '500']
['135', '897', '668', '902', '676']
['240', '181', '112', '721', '72']
['989', '955', '577', '104', '288']
['638', '303', '318', '888', '170']
['198', '414', '223', '150', '660']
['982', '305', '57', '781', '212']
['941', '573', '89', '618', '87']
['473', '880', '427', '987', '606']
['719', '953', '76', '92', '433']
['411', '816', '922', '559', '392']
['552', '556', '151', '191', '79']
['864', '549', '437', '762', '613']
['782', '154', '713', '67', '997']
['440', '11', '497', '928', '947']
['34', '631', '490', '911', '744']
['250', '805', '12', '629', '6']
['637', '278', '274', '360', '701']
['213', '741', '899', '520', '127']
['918', '190', '35', '625', '209']
['543', '798', '326', '107', '419']
['628', '455', '657', '86', '932']
['137', '621', '821', '824', '119']
['339', '328', '389', '876', '60']
['491', '648', '728', '373', '988']
['582', '962', '692', '40', '82']
['285', '590', '945', '211', '615']
['385', '542', '218', '995', '96']
['712', '451', '335', '475', '568']
['557', '18', '432', '893', '646']
['71', '718', '517', '951', '29']
['453', '185', '201', '673', '710']
['768', '724', '722', '205', '248']
['69', '654', '58', '984', '881']
['656', '931', '13', '395', '803']
['134', '386', '314', '731', '367']
['891', '914', '49', '640', '702']
['890', '699', '602', '384', '777']
['534', '642', '393', '915', '575']
['958', '604', '313', '195', '128']
['954', '199', '196', '530', '846']
['290', '854', '498', '943', '338']
['593', '715', '271', '269', '168']
['375', '732', '529', '909', '114']
['80', '904', '971', '272', '267']
['792', '743', '956', '742', '184']
['436', '27', '406', '165', '863']
['942', '164', '828', '113', '671']
['420', '959', '596', '612', '929']
['785', '750', '228', '256', '589']
['739', '102', '887', '439', '180']
['342', '182', '200', '143', '123']
['581', '454', '224', '141', '239']
['494', '960', '661', '512', '355']
['784', '873', '294', '229', '14']
['853', '337', '55', '81', '179']
['940', '580', '697', '214', '572']
['772', '541', '446', '64', '714']
['450', '399', '188', '800', '438']
['508', '378', '866', '402', '434']
['153', '133', '790', '7', '4']
['46', '145', '592', '482', '804']
['708', '311', '684', '387', '255']
['261', '952', '483', '197', '967']
['814', '809', '869', '791', '424']
['970', '645', '26', '343', '677']
['670', '767', '24', '484', '641']
['794', '109', '431', '253', '548']
['19', '232', '172', '39', '357']
['996', '755', '63', '193', '279']
['247', '574', '585', '94', '691']
['504', '861', '567', '98', '965']
['254', '597', '350', '410', '926']
['678', '920', '636', '186', '726']
['173', '391', '108', '561', '244']
['461', '270', '822', '9', '536']
['115', '783', '289', '999', '976']
['562', '877', '851', '550', '555']
['435', '672', '689', '379', '603']
['916', '488', '889', '323', '5']
['924', '682', '763', '545', '456']
['468', '85', '88', '647', '730']
['531', '912', '237', '663', '390']
['341', '503', '476', '938', '396']
['295', '525', '751', '747', '259']
['748', '765', '225', '144', '662']
['564', '687', '327', '523', '753']
['619', '778', '32', '896', '797']
['907', '680', '963', '972', '737']
['287', '210', '268', '855', '527']
['131', '486', '634', '738', '152']
['698', '827', '423', '169', '480']
['155', '867', '819', '994', '551']
['516', '273', '729', '630', '620']
['215', '284', '263', '417', '178']
['20', '298', '659', '993', '207']
['426', '265', '650', '950', '547']
['690', '321', '308', '362', '136']
['405', '31', '693', '447', '465']
['961', '518', '856', '844', '302']
['142', '319', '528', '511', '315']
['324', '874', '705', '871', '93']
['352', '653', '56', '579', '44']
['820', '365', '95', '206', '366']
['330', '28', '776', '23', '310']
