['230', '380', '198', '336', '663', '942', '511', '302', '643', '328', '65', '528', '80', '911', '210', '403', '394', '491', '909', '881', '925', '907', '575', '464', '421', '191', '157', '73', '66', '48', '371', '78', '209', '361', '406', '586', '701', '212', '706', '501', '232', '433', '917', '611', '613', '369', '291', '320', '231', '529']
['973', '149', '503', '146', '335', '720', '960', '862', '19', '574', '195', '657', '998', '616', '71', '314', '868', '190', '781', '610', '715', '229', '793', '564', '467', '402', '12', '658', '883', '1', '636', '142', '808', '156', '810', '255', '632', '627', '704', '498', '696', '45', '193', '447', '423', '373', '207', '233', '879', '385']
['138', '317', '220', '964', '721', '949', '240', '787', '948', '434', '788', '682', '923', '656', '167', '506', '107', '310', '834', '607', '75', '445', '955', '633', '130', '62', '772', '183', '802', '538', '42', '664', '133', '904', '556', '844', '532', '930', '165', '866', '833', '59', '886', '306', '954', '757', '33', '38', '495', '509']
['592', '474', '570', '60', '686', '870', '641', '359', '936', '387', '274', '847', '531', '557', '679', '152', '615', '222', '15', '6', '584', '424', '22', '338', '171', '887', '223', '990', '855', '497', '321', '429', '11', '639', '351', '391', '237', '199', '561', '489', '806', '109', '241', '631', '67', '247', '357', '112', '962', '419']
['747', '140', '4', '717', '214', '872', '997', '63', '135', '115', '47', '76', '51', '462', '396', '253', '205', '797', '172', '395', '640', '648', '612', '703', '208', '748', '959', '539', '655', '500', '273', '780', '182', '732', '397', '472', '119', '43', '871', '348', '734', '7', '409', '39', '709', '813', '30', '799', '712', '375']
['547', '835', '393', '978', '628', '943', '555', '287', '427', '600', '916', '794', '716', '726', '980', '858', '46', '815', '798', '638', '309', '175', '533', '579', '299', '700', '817', '293', '708', '400', '496', '864', '159', '544', '885', '110', '188', '630', '277', '363', '826', '593', '626', '383', '581', '894', '878', '849', '215', '289']
['377', '991', '867', '595', '279', '238', '830', '901', '927', '452', '211', '155', '937', '741', '884', '245', '898', '304', '882', '36', '83', '784', '276', '689', '518', '96', '606', '484', '665', '667', '659', '144', '386', '903', '219', '106', '944', '647', '415', '778', '483', '194', '158', '804', '635', '37', '200', '20', '860', '714']
['725', '775', '521', '559', '52', '742', '786', '202', '346', '102', '913', '324', '224', '759', '578', '800', '192', '87', '266', '261', '718', '961', '832', '975', '809', '468', '683', '344', '150', '448', '95', '520', '576', '645', '777', '431', '507', '453', '436', '486', '407', '285', '84', '252', '49', '873', '820', '568', '966', '668']
['97', '372', '443', '201', '176', '514', '271', '719', '534', '854', '475', '88', '476', '770', '599', '9', '466', '315', '743', '499', '129', '235', '411', '21', '169', '469', '690', '968', '418', '724', '93', '139', '988', '623', '987', '89', '776', '979', '838', '699', '278', '389', '981', '259', '27', '264', '300', '85', '221', '2']
['977', '829', '642', '730', '295', '435', '481', '671', '857', '982', '17', '16', '272', '504', '992', '939', '877', '691', '926', '891', '940', '545', '334', '811', '938', '322', '441', '29', '390', '234', '895', '789', '70', '414', '779', '567', '969', '563', '342', '970', '103', '454', '311', '602', '629', '456', '945', '773', '669', '56']
['31', '275', '918', '924', '99', '660', '204', '846', '184', '590', '61', '50', '516', '816', '728', '251', '597', '26', '963', '541', '477', '225', '58', '889', '677', '972', '164', '446', '134', '425', '819', '752', '652', '974', '897', '105', '330', '422', '560', '644', '530', '161', '55', '173', '471', '908', '754', '535', '41', '260']
['249', '893', '416', '444', '206', '74', '951', '914', '763', '996', '673', '585', '353', '517', '216', '81', '450', '217', '365', '591', '848', '339', '984', '312', '360', '117', '270', '577', '118', '958', '783', '122', '160', '824', '313', '457', '874', '814', '519', '681', '739', '928', '28', '828', '764', '551', '482', '993', '922', '675']
['512', '174', '358', '702', '239', '661', '767', '458', '350', '296', '678', '695', '362', '187', '297', '825', '921', '601', '286', '890', '40', '650', '430', '905', '723', '823', '580', '227', '137', '609', '292', '859', '861', '354', '404', '698', '836', '654', '841', '976', '68', '995', '132', '850', '32', '326', '523', '333', '23']
['243', '934', '688', '35', '178', '384', '837', '25', '965', '412', '268', '64', '125', '782', '246', '605', '147', '603', '250', '582', '451', '617', '693', '674', '510', '662', '281', '946', '694', '733', '796', '614', '843', '983', '120', '131', '912', '179', '382', '899', '680', '14', '573', '461', '956', '880', '869', '493', '288', '401']
['840', '670', '906', '818', '381', '711', '91', '620', '244', '583', '624', '282', '280', '522', '242', '298', '79', '428', '989', '378', '203', '684', '305', '126', '971', '262', '136', '196', '548', '653', '392', '488', '269', '284', '294', '947', '596', '676', '494', '761', '821', '127', '388', '327', '341', '746', '432', '750', '303', '839']
['123', '526', '455', '374', '329', '405', '950', '524', '619', '168', '845', '143', '57', '398', '791', '86', '502', '875', '492', '473', '594', '437', '368', '769', '0', '621', '589', '141', '426', '13', '121', '283', '410', '525', '108', '546', '166', '762', '812', '705', '90', '550', '148', '542', '801', '765', '54', '790', '459', '967']
['986', '366', '622', '634', '367', '856', '827', '485', '226', '53', '101', '94', '213', '863', '892', '331', '915', '822', '760', '756', '347', '865', '180', '185', '672', '549', '697', '124', '325', '337', '722', '554', '587', '319', '318', '771', '34', '480', '902', '508', '290', '737', '985', '931', '929', '738', '766', '736', '749', '735']
['420', '181', '896', '463', '460', '932', '248', '651', '852', '417', '254', '692', '177', '111', '364', '569', '727', '487', '565', '340', '301', '153', '465', '10', '807', '24', '537', '618', '713', '957', '552', '876', '189', '308', '440', '646', '72', '888', '8', '513', '785', '729', '77', '449', '352', '265', '307', '851', '604', '571']
['186', '707', '267', '162', '114', '439', '543', '408', '758', '540', '490', '3', '900', '910', '228', '572', '413', '685', '831', '774', '941', '768', '349', '470', '82', '710', '740', '343', '263', '935', '44', '442', '919', '608', '356', '323', '5', '853', '536', '598', '69', '803', '952', '792', '92', '236', '994', '100', '399', '753']
['145', '731', '18', '625', '920', '553', '98', '687', '505', '479', '257', '744', '588', '805', '751', '197', '527', '116', '933', '128', '316', '355', '515', '755', '666', '256', '842', '637', '332', '558', '113', '745', '649', '566', '376', '170', '438', '151', '379', '478', '218', '258', '163', '795', '562', '953', '370', '154', '104', '345']
