['920', '263', '714', '357', '655', '175', '437', '737', '310', '853']
['356', '329', '85', '327', '113', '753', '547', '426', '628', '387', '652', '134', '875', '41', '23', '308', '766', '476', '677', '534', '689', '699', '678', '886', '436', '309', '860', '798', '433', '428', '304', '751', '494', '174', '552', '375', '610', '133', '10', '566']
['266', '803', '71', '786', '353', '395', '579', '341', '542', '892', '933', '646', '178', '381', '257', '540', '397', '616', '53', '423', '490', '561', '623', '695', '863', '947', '720', '861', '573', '93', '168', '795', '587', '533', '846', '943', '712', '125', '52', '32', '649', '169', '99', '317', '190', '644', '8', '553', '36', '224']
['849', '210', '165', '199', '650', '115', '420', '523', '167', '512', '142', '508', '21', '665', '871', '252', '325', '482', '346', '859', '307', '879', '120', '281', '478', '848', '291', '823', '704', '101', '235', '251', '605', '890', '230', '479', '854', '159', '870', '60', '425', '98', '463', '760', '417', '501', '749', '938', '791', '546']
['323', '337', '382', '694', '930', '216', '156', '416', '507', '232', '25', '481', '524', '532', '925', '877', '894', '651', '567', '691', '531', '400', '515', '149', '898', '143', '698', '902', '842', '97', '464', '332', '697', '163', '497', '209', '43', '779', '653', '324', '935', '361', '767', '427', '285', '449', '203', '896', '408', '366']
['640', '835', '394', '946', '674', '903', '491', '707', '891', '535', '910', '415', '331', '906', '857', '801', '14', '221', '376', '457', '123', '466', '471', '888', '223', '193', '363', '431', '937', '297', '545', '544', '686', '591', '780', '246', '802', '432', '95', '326', '505', '556', '112', '776', '680', '559', '936', '475', '278', '7']
['627', '319', '635', '745', '213', '887', '916', '503', '302', '865', '217', '580', '136', '734', '460', '670', '46', '759', '384', '200', '267', '541', '272', '645', '111', '862', '820', '942', '485', '692', '569', '473', '634', '536', '386', '696', '83', '444', '492', '668', '509', '220', '864', '15', '212', '637', '348', '756', '832', '180']
['845', '124', '711', '354', '48', '581', '895', '50', '701', '816', '249', '744', '204', '754', '577', '483', '264', '543', '831', '135', '522', '664', '145', '715', '518', '598', '713', '422', '868', '837', '47', '13', '470', '735', '811', '274', '525', '596', '81', '771', '794', '342', '526', '164', '359', '201', '316', '56', '298', '9']
['37', '407', '440', '277', '527', '182', '296', '773', '100', '104', '313', '225', '245', '273', '158', '364', '622', '166', '176', '456', '710', '631', '901', '613', '26', '488', '926', '912', '226', '256', '748', '519', '838', '855', '372', '177', '560', '909', '570', '68', '874', '705', '474', '65', '103', '141', '339', '66', '247', '306']
['881', '35', '641', '55', '434', '360', '421', '75', '148', '548', '828', '367', '693', '419', '676', '107', '467', '805', '38', '742', '757', '682', '554', '380', '528', '128', '140', '379', '171', '57', '589', '33', '807', '465', '91', '454', '295', '445', '29', '681', '5', '827', '262', '917', '42', '305', '282', '557', '819', '824']
['797', '80', '39', '229', '639', '551', '867', '64', '280', '897', '787', '663', '130', '74', '442', '215', '907', '741', '647', '839', '197', '152', '412', '529', '253', '736', '778', '287', '739', '661', '371', '638', '76', '218', '290', '92', '822', '391', '250', '284', '24', '882', '392', '207', '77', '723', '322', '271', '88', '850']
['836', '196', '789', '289', '880', '919', '0', '2', '191', '116', '22', '4', '105', '131', '592', '726', '878', '472', '918', '222', '615', '108', '260', '755', '340', '368', '390', '132', '769', '447', '772', '719', '119', '730', '424', '255', '96', '762', '40', '612', '783', '114', '944', '572', '643', '240', '254', '934', '94', '328']
['486', '172', '620', '181', '292', '578', '350', '922', '189', '480', '500', '948', '183', '155', '914', '625', '905', '34', '374', '228', '157', '69', '746', '738', '843', '549', '19', '365', '683', '658', '185', '517', '852', '626', '617', '632', '594', '214', '320', '450', '16', '495', '59', '521', '513', '351', '662', '338', '441', '672']
['3', '590', '599', '687', '611', '883', '675', '908', '315', '927', '469', '718', '733', '621', '844', '126', '624', '150', '600', '144', '373', '582', '588', '872', '785', '151', '487', '227', '504', '808', '781', '806', '233', '117', '398', '127', '633', '453', '443', '657', '931', '856', '283', '608', '129', '660', '389', '869', '248', '410']
