['5', 'G49', 'F49']
['9', 'F25', 'E25']
['7', 'C25', 'B25']
['27', 'A25', 'H24']
['11', 'G24', 'F24']
['22', 'E24', 'D24']
['19', 'C24', 'B24']
['23', 'A24', 'H23']
['2', 'G23', 'B27']
['6', 'F23', 'C27']
['1', 'E27', 'H30']
['24', 'G30', 'F30']
['15', 'E30', 'D30']
['10', 'C30', 'B30']
['26', 'A30', 'H29']
['4', 'G29', 'F29']
['8', 'E29', 'D29']
['20', 'C29', 'B29']
['21', 'H25', 'G25']
['14', 'A26', 'D25']
['29', 'E26', 'D26']
['17', 'A5', 'D4']
['18', 'H3', 'A4']
['16', 'E7', 'D7']
['12', 'C7', 'B7']
['3', 'A7', 'H6']
['0', 'G6', 'F6']
['13', 'E6', 'D6']
['25', 'C6', 'B6']
['28', 'A6', 'D15']
['30', 'H5', 'F5']
['59', 'E5', 'D5']
['58', 'C5', 'B5']
['32', 'H4', 'G4']
['31', 'F4', 'E4']
['57', 'C4', 'B4']
['56', 'G5', 'C31']
['54', 'E15', 'G15']
['53', 'A27', 'H26']
['52', 'G26', 'F26']
['51', 'C26', 'B26']
['50', 'A29', 'H27']
['49', 'H28', 'G28']
['48', 'G27', 'F27']
['47', 'E23', 'D23']
['46', 'D27', 'B23']
['55', 'A23', 'F22']
['44', 'E22', 'D22']
['45', 'C22', 'B22']
['34', 'A22', 'H21']
['33', 'G21', 'F21']
['36', 'F15', 'E21']
['37', 'C21', 'B21']
['38', 'A21', 'H20']
['35', 'G20', 'F20']
['39', 'E20', 'D20']
['40', 'C20', 'B20']
['41', 'A20', 'H19']
['42', 'G19', 'D21']
['43', 'B31']
['C54', 'H22', 'G22']
['H0', 'E0', 'D0']
['G39', 'E19', 'F19']
['F39', 'E18', 'D18']
['E39', 'F28', 'E28']
['D39', 'D28', 'C28']
['C39', 'B28', 'A28']
['B39', 'C23', 'B19']
['A39', 'A19', 'H18']
['H38', 'G18', 'F18']
['G38', 'C18', 'B18']
['A38', 'A18', 'H17']
['E38', 'G17', 'F17']
['D38', 'E17', 'D17']
['C38', 'C17', 'B17']
['B38', 'A17', 'H16']
['H37', 'G16', 'F16']
['G37', 'E16', 'D16']
['F37', 'C16', 'B16']
['E37', 'A16', 'H15']
['H39', 'C19', 'D19']
['F38', 'F3', 'G3']
['A40', 'C0', 'B0']
['G41', 'G0', 'F0']
['C40', 'C10', 'B10']
['G42', 'H43', 'G43']
['F42', 'B46', 'D46']
['E42', 'H48', 'G48']
['D42', 'F48', 'E48']
['C42', 'C48', 'B48']
['B42', 'A48', 'H47']
['A42', 'C46', 'G47']
['H41', 'E47', 'D47']
['D37', 'C47', 'B47']
['B40', 'A47', 'G46']
['F41', 'F46', 'E46']
['D41', 'F47', 'H46']
['C41', 'A0', 'D11']
['B41', 'C11', 'B11']
['A41', 'A11', 'H10']
['H40', 'G10', 'F10']
['G40', 'E10', 'D10']
['F40', 'C44', 'B44']
['E40', 'A44', 'D48']
['D40', 'F44', 'D44']
['E41', 'E52', 'D52']
['C37', 'B50', 'A50']
['E35', 'A52', 'B52']
['A37', 'C52', 'H54']
['H33', 'G54', 'F54']
['G33', 'E54', 'D54']
['F33', 'B54', 'A54']
['E33', 'H53', 'G53']
['D33', 'D49', 'F53']
['C33', 'D53', 'C53']
['B33', 'B53', 'A53']
['A33', 'G52', 'F52']
['H32', 'E53', 'C49']
['A34', 'B49', 'A49']
['G32', 'H45', 'G45']
['E32', 'F45', 'E45']
['D32', 'D45', 'C45']
['C32', 'B45', 'A45']
['B32', 'H44', 'A46']
['A32', 'A10', 'H9']
['H31', 'E9', 'D9']
['G31', 'G9', 'F9']
['F31', 'A31', 'H12']
['E31', 'D31', 'F12']
['F32', 'E12', 'D12']
['B37', 'C12', 'B12']
['B34', 'A12', 'G11']
['D34', 'H7', 'G7']
['H36', 'F7', 'E3']
['G36', 'D3', 'C3']
['F36', 'B3', 'A3']
['E36', 'H2', 'G2']
['D36', 'F2', 'E2']
['C36', 'D2', 'C2']
['B36', 'B2', 'A2']
['A36', 'H1', 'G1']
['H35', 'F1', 'E1']
['C34', 'D1', 'C1']
['G35', 'C13', 'B13']
['H42', 'A13', 'G12']
['D35', 'A14', 'D13']
['C35', 'A8', 'A15']
['B35', 'E8', 'D8']
['A35', 'C9', 'B9']
['H34', 'A9', 'H8']
['G34', 'G8', 'F8']
['F34', 'C8', 'B8']
['E34', 'E11', 'F11']
['F35', 'H11', 'C15']
['A43', 'F43', 'E43']
['G44', 'E44', 'B15']
['C43', 'D43', 'B43']
['G51', 'H14', 'G14']
['F51', 'F14', 'E14']
['E51', 'H51', 'H52']
['D51', 'D14', 'C14']
['C51', 'C50', 'B14']
['B51', 'H13', 'G13']
['A51', 'F13', 'E13']
['H50', 'H49', 'E49']
['G50', 'B1', 'A1']
['F50', 'E50', 'D50']
