['a142', 'a200', 'a212', 'a70', 'a110', 'a61', 'a157', 'a80', 'a196', 'a35']
['a58', 'a179', 'a195', 'a226', 'a60', 'a84', 'a102', 'a20', 'a19', 'a135']
['a121', 'a191', 'a113', 'a141', 'a249', 'a27', 'a153', 'a16', 'a238', 'a47']
['a107', 'a75', 'a171', 'a159', 'a56', 'a242', 'a8', 'a201', 'a46', 'a237']
['a76', 'a185', 'a174', 'a25', 'a198', 'a11', 'a9', 'a240', 'a95', 'a63']
['a118', 'a246', 'a23', 'a197', 'a162', 'a31', 'a18', 'a128', 'a59', 'a150']
['a202', 'a243', 'a2', 'a137', 'a125', 'a51', 'a161', 'a65', 'a234', 'a28']
['a130', 'a4', 'a165', 'a1', 'a50', 'a99', 'a44', 'a78', 'a97', 'a152']
['a136', 'a112', 'a183', 'a248', 'a170', 'a93', 'a204', 'a26', 'a32', 'a90']
['a213', 'a119', 'a182', 'a194', 'a149', 'a164', 'a29', 'a10', 'a132', 'a87']
['a138', 'a62', 'a206', 'a124', 'a223', 'a178', 'a143', 'a88', 'a233', 'a160']
['a216', 'a192', 'a184', 'a24', 'a145', 'a40', 'a104', 'a168', 'a129', 'a91']
['a215', 'a14', 'a190', 'a208', 'a64', 'a41', 'a147', 'a224', 'a131', 'a151']
['a229', 'a54', 'a144', 'a7', 'a85', 'a230', 'a181', 'a155', 'a49', 'a96']
['a218', 'a244', 'a0', 'a106', 'a81', 'a36', 'a74', 'a239', 'a48', 'a79']
['a111', 'a180', 'a146', 'a247', 'a166', 'a38', 'a175', 'a232', 'a69', 'a52']
['a207', 'a89', 'a126', 'a21', 'a45', 'a15', 'a34', 'a108', 'a42', 'a177']
['a225', 'a167', 'a156', 'a176', 'a82', 'a68', 'a77', 'a186', 'a3', 'a140']
['a53', 'a154', 'a163', 'a5', 'a13', 'a33', 'a221', 'a105', 'a43', 'a235']
['a211', 'a114', 'a139', 'a148', 'a199', 'a86', 'a122', 'a30', 'a109', 'a187']
['a127', 'a133', 'a214', 'a220', 'a117', 'a236', 'a205', 'a193', 'a189', 'a37']
['a67', 'a39', 'a219', 'a22', 'a123', 'a222', 'a209', 'a103', 'a55', 'a71']
['a116', 'a245', 'a101', 'a217', 'a188', 'a73', 'a227', 'a158', 'a173', 'a169']
['a172', 'a100', 'a72', 'a231', 'a98', 'a57', 'a66', 'a17', 'a92', 'a94']
['a134', 'a120', 'a210', 'a203', 'a115', 'a241', 'a228', 'a6', 'a83', 'a12']
