['208', '77', '357', '246', '375', '343', '183', '354', '28', '348', '55', '166', '388', '71', '342', '189']
['205', '269', '263', '307', '336', '207', '41', '301', '170', '182', '91', '243', '394', '200', '397', '4']
['161', '179', '94', '186', '15', '42', '88', '236', '264', '156', '234', '347', '324', '128', '315', '285']
['316', '113', '61', '30', '341', '368', '140', '268', '353', '386', '75', '248', '22', '51', '10', '36']
['178', '72', '20', '58', '275', '309', '145', '136', '50', '110', '171', '249', '130', '78', '210', '297']
['25', '16', '318', '17', '280', '292', '1', '241', '398', '31', '308', '168', '373', '203', '106', '290']
['5', '192', '122', '255', '176', '116', '63', '13', '23', '21', '37', '139', '345', '18', '310', '239']
['47', '393', '245', '371', '302', '235', '346', '152', '34', '206', '195', '344', '366', '134', '196', '296']
['251', '65', '204', '244', '212', '380', '211', '270', '399', '67', '395', '390', '326', '43', '76', '157']
['146', '282', '95', '39', '213', '392', '340', '111', '209', '253', '279', '201', '369', '258', '247', '142']
['199', '356', '138', '274', '121', '215', '69', '150', '362', '351', '367', '377', '27', '223', '97', '64']
['32', '396', '271', '169', '329', '293', '102', '11', '103', '101', '62', '221', '74', '114', '137', '283']
['144', '172', '229', '276', '185', '389', '14', '153', '238', '288', '159', '162', '240', '364', '135', '322']
['187', '126', '365', '84', '45', '133', '87', '66', '227', '118', '319', '384', '330', '304', '56', '225']
['46', '349', '260', '352', '108', '81', '333', '112', '374', '154', '387', '376', '52', '273', '3', '226']
['328', '174', '96', '98', '107', '85', '160', '228', '40', '33', '289', '117', '104', '48', '132', '339']
['259', '109', '100', '19', '321', '124', '181', '327', '372', '311', '331', '222', '284', '193', '123', '38']
['218', '383', '306', '281', '216', '242', '105', '224', '165', '59', '164', '163', '358', '129', '385', '287']
['286', '334', '257', '312', '177', '361', '295', '149', '24', '355', '219', '338', '167', '278', '250', '363']
['305', '158', '233', '54', '382', '267', '252', '291', '198', '148', '9', '82', '230', '99', '8', '194']
['314', '265', '79', '214', '184', '217', '298', '119', '379', '400', '359', '68', '303', '272', '262', '313']
['190', '143', '83', '7', '320', '29', '323', '237', '300', '325', '254', '125', '256', '127', '141', '70']
['175', '35', '155', '49', '90', '6', '131', '261', '53', '277', '80', '180', '335', '26', '173', '391']
['147', '44', '92', '370', '73', '57', '202', '197', '120', '378', '188', '332', '2', '232', '93', '317']
['12', '220', '151', '266', '299', '231', '191', '350', '360', '381', '115', '337', '60', '294', '86', '89']
