['166', '458', '31', '478', '198', '455', '392', '395']
['133', '124', '350', '309', '442', '246', '411', '214']
['265', '262', '258', '161', '254', '261', '257', '157']
['34', '482', '50', '281', '357', '474', '312', '475']
['364', '368', '366', '222', '453', '126', '145', '200']
['67', '219', '477', '73', '284', '106', '22', '71']
['1', '497', '255', '297', '121', '493', '499', '464']
['430', '427', '194', '256', '296', '473', '128', '15']
['8', '374', '370', '43', '208', '372', '11', '471']
['397', '476', '196', '441', '485', '445', '143', '216']
['4', '390', '7', '72', '388', '365', '456', '223']
['199', '195', '490', '197', '129', '267', '131', '96']
['331', '79', '274', '438', '173', '410', '13', '495']
['298', '295', '292', '294', '61', '288', '94', '356']
['463', '460', '66', '266', '467', '234', '400', '264']
['232', '236', '233', '99', '134', '462', '321', '88']
['496', '492', '500', '457', '259', '399', '38', '434']
['100', '103', '107', '303']
['12', '279', '282', '446', '314', '114', '182', '179']
['16', '150', '443', '382', '448', '483', '18', '481']
['24', '352', '152', '59', '155', '224', '21', '122']
['20', '287', '87', '55', '23', '450', '383', '487']
['33', '328', '36', '324', '363', '170', '137', '135']
['29', '97', '132', '229', '491', '130', '165', '425']
['37', '40', '174', '407', '171', '139', '332', '341']
['41', '175', '178', '468', '433', '436', '299', '108']
['45', '42', '44', '47', '48', '244', '248', '405']
['49', '183', '180', '177', '377', '82', '85', '46']
['57', '125', '385', '418', '486', '420', '26', '290']
['53', '286', '354', '154', '185', '218', '187', '253']
['204', '437', '142', '207', '109', '338', '439', '440']
['25', '159', '391', '326', '323', '386', '260', '58']
['320', '317', '316', '319', '249', '252', '215', '247']
['186', '221', '217', '116', '81', '289', '77', '489']
['419', '423', '91', '225', '123', '118', '415', '416']
['228', '428', '461', '393', '32', '193', '160', '498']
['375', '80', '250', '9', '231', '188', '421', '351']
['238', '203', '339', '242', '337', '343', '304', '172']
['76', '404', '78', '371', '5', '270', '93', '245']
['271', '275', '310', '444', '149', '110', '277', '211']
['276', '280', '315', '449', '381', '452', '311', '285']
['62', '163', '64', '396', '60', '293', '192', '95']
['272', '406', '181', '239', '105', '479', '70', '306']
['472', '51', '90', '451', '469', '466', '447', '465']
['414', '86', '89', '54', '56', '417', '190', '52']
['432', '362', '360', '358', '355', '308', '342', '158']
['301', '3', '6', '104', '336', '340', '101', '10']
['305', '138', '237', '141', '373', '140', '209', '240']
['369', '74', '136', '235', '435', '220', '268', '251']
['459', '164', '424', '191', '27', '389', '494', '30']
['2', '335', '102', '168', '269', '98', '69', '273']
['147', '112', '345', '151', '384', '387', '380', '213']
['402', '334', '480', '367', '484', '169', '167', '189']
['325', '92', '327', '329', '162', '263', '322', '127']
['39', '376', '35', '75', '206', '202', '205', '176']
['470', '409', '353', '120', '413', '19', '117', '454']
['488', '28', '394', '359', '291', '361', '422', '426']
['210', '344', '348', '313', '243', '111', '278', '148']
['241', '84', '153', '318', '156', '283', '119', '184']
['349', '346', '212', '412', '379', '144', '146', '113']
['230', '333', '330', '227', '63', '226', '398', '431']
['14', '17', '378', '347', '408', '307', '115', '83']
['300', '302', '65', '68', '201', '403', '401', '429']
