['0']
['245', '235', '205']
['66']
['275']
['195']
['290']
['260']
['180']
['130', '150']
['200', '175']
['110', '280', '36', '169', '28', '179', '152', '55', '82', '10', '246', '271', '221', '129', '142']
['155', '220', '158', '259', '174', '29', '167', '136', '286', '207', '53', '80', '267', '251', '182']
['230', '115', '100', '210', '123', '14', '3', '113', '124', '249', '264', '50', '276', '92', '90']
['61', '265', '170', '270', '211', '121', '274', '177', '117', '237', '33', '242', '216', '149', '17']
['41', '86', '26', '240', '71', '11', '99', '98', '42', '24', '103', '284', '278', '161', '12']
['16', '116', '281', '203', '47', '143', '13', '214', '191', '164', '59', '107', '163', '268', '159']
['160', '202', '102', '228', '212', '194', '67', '58', '85', '288', '238', '296', '43', '299', '178']
['190', '106', '257', '291', '40', '176', '38', '48', '217', '168', '293', '236', '197', '39', '34']
['295', '131', '68', '54', '171', '226', '277', '292', '166', '5', '63', '289', '261', '64', '147']
['250', '18', '72', '7', '132', '49', '104', '79', '239', '45', '122', '241', '77', '213', '84']
['165', '145', '83', '144', '2', '189', '151', '111', '94', '88', '37', '192', '74', '231', '222']
['46', '258', '119', '298', '114', '172', '201', '137', '243', '97', '95', '157', '266', '25', '232']
['31', '186', '206', '109', '248', '272', '60', '154', '112', '269', '4', '187', '57', '93', '32']
['91', '127', '162', '247', '87', '183', '65', '78', '138', '256', '262', '287', '294', '234', '209']
['135', '89', '62', '244', '279', '118', '153', '227', '70', '69', '254', '141', '146', '139', '193']
['21', '96', '76', '105', '9', '219', '148', '27', '134', '133', '198', '52', '233', '44', '30']
['56', '1', '101', '23', '263', '229', '108', '126', '273', '173', '252', '22', '218', '223', '196']
['215', '185', '120', '255', '225', '285', '282', '208', '128', '181', '73', '35', '8', '75', '188']
['6']
['81', '125', '51', '140', '15', '19', '224', '253', '184', '156', '297', '199', '204', '283', '20']
