['365', '202', '104', '217', '220', '230', '228', '206', '201', '189', '182', '181']
['11', '96', '95', '94', '12', '43', '4', '306', '300', '304', '335', '8']
['218', '390', '333', '168', '288', '198', '199', '200', '229', '361', '83', '25']
['421', '448', '403', '435', '430', '408', '413', '416', '419', '422', '433', '436']
['453', '467', '464', '462', '454', '469', '493', '487', '471', '485', '476', '481']
['311', '340', '339', '338', '332', '309', '342', '327', '325', '319', '320', '312']
['280', '269', '271', '281', '261', '287', '254', '290', '294', '292', '263', '299']
['267', '283', '268', '274', '275', '277', '285', '289', '291', '266', '293', '296']
['52', '420', '373', '227', '417', '264', '414', '262', '368', '260', '258', '407']
['164', '196', '195', '232', '449', '18', '284', '445', '250', '112', '282', '401']
['6', '23', '9', '29', '1', '2', '27', '3', '7', '28', '64', '24']
['396', '370', '374', '372', '385', '387', '364', '363', '359', '354', '386', '391']
['56', '190', '357', '402', '247']
['330', '346', '348', '349', '324', '341', '344', '347', '331', '334', '337', '336']
['169']
['108']
['221']
['318', '313', '316', '345', '302', '308', '310', '317', '321', '326', '328', '329']
['36', '194', '197', '45', '44', '19', '20', '39', '37', '22', '15', '21']
['384', '193', '389', '392', '388', '380', '358', '360', '362', '398', '35', '399']
['97', '239', '215', '109', '452', '172', '176', '178', '180', '183', '187', '455']
['382', '393', '376', '375', '378', '62', '132', '252', '138', '484', '140', '480']
['102', '222', '185', '153', '86', '90', '81', '158', '207', '113', '134', '137']
['231', '156', '73', '69', '226', '225', '98', '246', '85', '70', '65', '68']
['48', '245', '243', '127', '71', '58', '111', '66', '99', '100', '87', '41']
['235', '241', '212', '211', '61', '72', '122', '78', '84', '54', '57', '208']
['397', '394', '395', '355', '356', '367', '369', '371', '379', '381', '383', '350']
['237', '50', '209', '55', '160', '165', '118', '170', '151', '129', '143', '144']
['259', '270', '272', '273', '276', '278', '279', '286', '171', '148', '149', '186']
['353', '432', '423', '424', '438', '425', '203', '426', '411', '412', '427', '428']
['352', '59', '60', '446', '442', '441', '440', '410', '431', '434', '123', '322']
['351', '110', '191', '192', '107', '204', '205', '103', '210', '213', '214', '216']
['377', '188', '101', '223', '224', '93', '233', '91', '238', '240', '242', '244']
['366', '234', '323', '179', '175', '124', '121', '128', '131', '133', '135', '136']
['150', '174', '125', '126', '130', '141', '142', '145', '146', '152', '117', '159']
['404', '439', '406', '443', '400', '405', '415', '418', '447', '444', '429', '437']
['495', '461', '460', '458', '139', '147', '161', '162', '163', '116', '166', '115']
['74', '173', '89', '248', '219', '80', '79', '297', '298', '301', '75', '303']
['491', '482', '497', '496', '489', '486', '474', '483', '472', '451', '450', '468']
['157', '26', '155', '305', '307', '315', '76', '265', '249', '257', '251', '253']
['478', '457', '459', '477', '479', '488', '490', '492', '494', '456', '499', '498']
['177', '105', '255', '256', '473', '120', '470', '154', '88', '343', '466', '465']
['82', '295', '463', '236', '92', '77', '475', '409', '167', '67', '314', '63']
['16', '106', '38', '34', '33', '51', '14', '13', '114', '5', '10', '184']
['17', '0', '119', '53', '32', '31', '30', '49', '47', '42', '40', '46']
