['351', '91', '66', '45', '28', '329', '160', '194', '58', '346', '268', '238', '140', '178', '202', '257', '112', '18', '343', '288', '81', '293', '144', '130', '62', '25', '319', '123', '336', '227']
['325', '78', '55', '36', '370', '49', '100', '97', '111', '356', '375', '146', '235', '206', '270', '195', '322', '310', '150', '284', '139', '243', '131', '166', '180', '159', '224', '156', '69', '291']
['300', '344', '348', '60', '83', '99', '330', '40', '374', '197', '271', '87', '193', '337', '148', '242', '236', '216', '281', '52', '108', '248', '128', '165', '263', '285', '219', '24', '267', '157']
['276', '345', '82', '237', '149', '315', '339', '218', '264', '98', '88', '328', '335', '109', '307', '240', '184', '199', '261', '143', '41', '214', '367', '51', '158', '244', '359', '61', '304', '354']
['253', '282', '147', '42', '334', '361', '198', '246', '183', '71', '215', '355', '364', '220', '75', '95', '142', '117', '287', '167', '50', '124', '347', '290', '63', '234', '127', '226', '318', '177']
['231', '182', '360', '217', '259', '262', '289', '265', '129', '141', '305', '314', '164', '145', '341', '113', '338', '309', '110', '174', '84', '213', '372', '204', '228', '102', '39', '31', '186', '48']
['210', '181', '362', '163', '316', '358', '85', '308', '311', '176', '331', '273', '168', '373', '292', '115', '185', '256', '132', '72', '320', '21', '203', '365', '59', '297', '340', '94', '260', '125']
['190', '162', '272', '86', '312', '357', '222', '74', '294', '116', '70', '306', '225', '133', '303', '366', '96', '179', '283', '241', '332', '269', '187', '371', '247', '33', '175', '258', '286', '279']
['171', '196', '296', '200', '369', '114', '221', '317', '126', '342', '245', '280', '321', '239', '363', '333', '250', '205', '101', '313', '32', '266', '161', '73', '349', '89', '76', '118', '43', '64']
['153', '201', '223', '368', '249', '295', '207', '34', '103', '188', '229', '298', '13', '19', '26', '376', '323', '151', '53', '134', '274', '44', '278', '9', '119', '138', '30', '173', '233', '38']
['136', '251', '15', '169', '208', '275', '230', '122', '327', '47', '155', '189', '107', '255', '68', '212', '57', '65', '54', '192', '93', '23', '27', '77', '135', '350', '35', '17', '12', '302']
['120', '10', '209', '252', '152', '20', '324', '353', '170', '80', '90', '104', '299', '377', '56', '154', '46', '211', '106', '8', '326', '191', '29', '92', '277', '254', '16', '67', '22', '37']
['105', '14', '79', '121', '11', '6', '7', '301', '232', '137', '172', '352', '5', '3', '2', '1', '4']
