['0', '106', '103', '139', '135', '132', '129', '126', '399']
['272', '52', '72', '92', '77', '17', '12', '37', '32', '30', '27', '172', '157', '152', '197', '194', '192', '191', '190', '187']
['271', '71', '51', '91', '11', '42', '31', '28', '171', '170', '168', '166', '164', '163', '162', '161', '160', '173', '151', '174']
['270', '350', '349', '346', '345', '343', '341', '340', '70', '66', '61', '50', '73', '90', '86', '85', '81', '76', '21', '10']
['269', '69', '89', '49', '9', '29', '169', '167', '189', '179', '178', '177', '175', '149', '119', '118', '117', '115', '112', '111']
['268', '388', '386', '385', '383', '382', '381', '380', '348', '308', '328', '325', '68', '63', '62', '60', '88', '83', '82', '79']
['267', '207', '387', '307', '306', '305', '303', '347', '327', '67', '65', '87', '47', '8', '7', '6', '5', '3', '23', '25']
['266', '206', '205', '203', '223', '226', '246', '239', '238', '237', '236', '235', '234', '233', '232', '231', '230', '229', '228', '227']
['265', '365', '45', '33', '165', '153', '185', '150', '148', '113', '110', '105', '102', '125', '147', '146', '145', '144', '143', '142']
['264', '204', '224', '225', '364', '363', '360', '373', '374', '376', '384', '379', '378', '377', '375', '304', '324', '344', '199', '64']
['263', '273', '274', '276', '279', '278', '277', '275', '219', '218', '217', '216', '215', '214', '213', '212', '211', '210', '209', '208']
['262', '222', '202', '362', '322', '302', '323', '326', '342', '339', '338', '337', '336', '335', '334', '333', '332', '331', '330', '329']
['261', '221', '220', '201', '301', '361', '300', '321', '320', '319', '318', '317', '316', '315', '314', '313', '312', '311', '310', '309']
['260', '200', '20', '40', '100', '180', '121', '120', '116', '108', '104', '101', '122', '123', '124', '141', '140', '138', '398', '137']
['259', '299', '359', '358', '357', '356', '355', '354', '353', '352', '351', '397', '396', '395', '394', '393', '392', '391', '390', '389']
['258', '198', '58', '54', '78', '18', '44', '38', '98', '158', '176', '196', '195', '193', '188', '186', '184', '183', '182', '181']
['257', '297', '296', '295', '294', '293', '292', '291', '290', '289', '288', '287', '286', '285', '284', '283', '282', '281', '280', '298']
['256', '56', '96', '94', '80', '97', '16', '43', '41', '39', '36', '35', '34', '26', '24', '99', '159', '156', '155', '154']
['255', '59', '57', '55', '53', '75', '95', '93', '84', '74', '19', '15', '14', '13', '4', '2', '1', '22', '48', '46']
['254', '114', '109', '107', '134', '133', '131', '130', '128', '127', '136']
['253', '252', '251', '250', '248', '249', '247', '245', '244', '243', '242', '241', '240', '372', '371', '370', '369', '368', '367', '366']
