['342', '87', '169', '260', '380', '490', '409', '268', '173', '480', '180', '301', '231', '398', '482', '95', '300', '408', '275', '485']
['222', '200', '125', '104', '249', '465', '172', '2', '160', '497', '441', '320', '399', '453', '448', '389', '244', '264', '252', '404']
['297', '344', '322', '284', '345', '225', '116', '283', '326', '230', '347', '368', '250', '107', '483', '251', '94', '484', '296', '58']
['101', '334', '328', '265', '282', '405', '324', '285', '436', '429', '311', '73', '365', '0', '359', '144', '447', '425', '319', '463']
['20', '205', '18', '474', '226', '154', '166', '372', '131', '293', '386', '379', '223', '110', '99', '290', '276', '424', '11', '286']
['237', '431', '190', '103', '98', '217', '343', '54', '402', '366', '111', '32', '246', '370', '133', '333', '227', '330', '439', '175']
['258', '312', '309', '351', '494', '423', '443', '119', '437', '269', '499', '432', '335', '278', '12', '17', '189', '272', '35', '157']
['62', '179', '186', '419', '458', '187', '19', '367', '375', '147', '271', '29', '315', '65', '479', '188', '253', '235', '243', '444']
['240', '461', '261', '77', '390', '313', '360', '97', '80', '128', '93', '108', '295', '212', '41', '105', '63', '454', '100', '45']
['81', '13', '167', '10', '55', '280', '400', '1', '440', '23', '489', '481', '162', '376', '86', '449', '177', '195', '418', '467']
['411', '460', '209', '22', '462', '204', '185', '193', '451', '184', '158', '331', '115', '52', '346', '27', '341', '168', '15', '48']
['487', '352', '145', '16', '137', '21', '215', '387', '426', '369', '234', '164', '176', '206', '373', '67', '353', '292', '25', '413']
['213', '362', '9', '71', '136', '459', '498', '388', '412', '307', '407', '438', '263', '3', '43', '257', '401', '291', '8', '327']
['24', '492', '350', '149', '192', '355', '14', '216', '178', '44', '202', '267', '211', '91', '349', '270', '392', '325', '112', '299']
['90', '302', '232', '495', '151', '130', '132', '329', '161', '247', '254', '74', '238', '348', '450', '85', '445', '143', '414', '338']
['82', '134', '64', '117', '442', '68', '486', '127', '42', '393', '69', '434', '236', '475', '491', '194', '49', '76', '303', '259']
['120', '323', '40', '421', '155', '395', '66', '182', '122', '456', '126', '239', '298', '70', '129', '314', '214', '208', '248', '255']
['377', '361', '57', '321', '142', '219', '332', '51', '433', '406', '427', '159', '382', '266', '396', '198', '96', '316', '233', '47']
['469', '473', '36', '241', '455', '102', '305', '403', '354', '277', '358', '4', '435', '308', '466', '428', '496', '109', '72', '183']
['262', '279', '374', '415', '7', '363', '274', '34', '356', '38', '287', '430', '79', '148', '294', '31', '422', '371', '221', '476']
['203', '378', '256', '210', '416', '92', '310', '385', '242', '273', '470', '165', '464', '124', '171', '493', '26', '33', '339', '139']
['28', '197', '59', '141', '281', '468', '191', '37', '181', '289', '84', '61', '336', '229', '118', '306', '245', '417', '471', '89']
['56', '156', '391', '50', '364', '199', '30', '106', '410', '60', '121', '420', '78', '138', '201', '39', '6', '337', '53', '174']
['220', '383', '46', '196', '150', '5', '457', '304', '88', '384', '114', '288', '317', '224', '218', '170', '123', '146', '394', '83']
['207', '452', '477', '446', '381', '340', '397', '153', '318', '135', '152', '113', '140', '357', '472', '75', '478', '488', '163', '228']
