['109', '460', '87', '65', '328', '417', '21', '351', '241', '439', '306', '483', '175', '152', '372', '262', '394', '285', '43', '129', '195', '217']
['395', '409', '343', '299', '211', '57', '35', '123', '189', '453', '255', '145', '321', '78', '364', '100', '166', '474', '12', '276', '430', '232']
['64', '210', '408', '320', '342', '386', '254', '452', '77', '297', '99', '11', '275', '165', '33', '231', '143', '187', '429', '473', '363', '121']
['197', '55', '385', '472', '120', '340', '230', '164', '318', '10', '428', '208', '362', '450', '98', '252', '406', '274', '142', '32', '296', '76']
['42', '229', '75', '427', '405', '185', '53', '163', '449', '361', '9', '207', '273', '471', '97', '383', '338', '316', '140', '118', '250', '294']
['153', '206', '382', '360', '30', '470', '74', '96', '228', '8', '162', '426', '404', '448', '184', '52', '272', '337', '249', '293', '315', '117']
['307', '205', '72', '424', '380', '50', '138', '446', '28', '226', '402', '6', '182', '358', '94', '468', '270', '160', '335', '247', '115', '313']
['130', '203', '48', '26', '290', '70', '136', '334', '444', '378', '268', '224', '180', '92', '158', '4', '400', '466', '356', '422', '311', '245']
['461', '258', '324', '192', '302', '390', '60', '412', '38', '346', '170', '148', '126', '214', '433', '279', '367', '103', '235', '15', '477', '81']
['240', '436', '282', '106', '480', '370', '84', '17', '61', '259', '303', '413', '325', '391', '149', '347', '39', '457', '171', '200', '112', '177']
['108', '482', '373', '86', '438', '305', '327', '261', '41', '393', '239', '19', '63', '459', '173', '151', '283', '349', '415', '194', '216', '128']
['263', '199', '67', '89', '221', '331', '463', '375', '287', '23', '1', '265', '133', '441', '111', '155', '353', '419', '309', '45', '397', '176']
['329', '201', '113', '46', '68', '398', '442', '134', '90', '2', '156', '464', '266', '178', '354', '376', '288', '24', '222', '332', '420', '243']
['131', '202', '421', '157', '355', '25', '377', '3', '267', '91', '465', '179', '135', '69', '399', '333', '443', '289', '47', '223', '310', '244']
['350', '204', '269', '181', '27', '291', '467', '5', '357', '93', '49', '401', '159', '423', '379', '71', '137', '225', '445', '246', '114', '312']
['218', '447', '425', '7', '183', '73', '271', '161', '29', '51', '95', '469', '139', '381', '403', '359', '227', '116', '336', '248', '314', '292']
['219', '344', '454', '300', '124', '146', '256', '58', '388', '190', '36', '322', '410', '13', '475', '101', '233', '431', '79', '167', '365', '277']
['416', '455', '168', '476', '234', '366', '102', '212', '14', '80', '278', '432', '54', '186', '384', '141', '317', '295', '31', '119', '339', '251']
['174', '104', '16', '434', '368', '82', '478', '280', '236', '37', '389', '191', '301', '59', '125', '147', '253', '341', '209', '451', '319', '407']
['20', '281', '479', '435', '83', '237', '105', '369', '456', '345', '169', '213', '411', '323', '257', '387', '56', '188', '34', '122', '144', '298']
['196', '0', '198', '264', '22', '374', '44', '154', '88', '440', '308', '330', '352', '286', '220', '66', '396', '462', '242', '418', '110', '132']
['284', '437', '481', '107', '85', '371', '348', '458', '392', '304', '326', '40', '260', '172', '18', '414', '238', '150', '62', '215', '127', '193']
