['w4', 'x3', 'y5', 'b8', 'n9', 'i7', 'i2', 'i3', 'i9', 'k6']
['d1', 'a2', 'y3', 'd2', 'n6', 'e1', 'u10', 'k5', 's4', 's1']
['t10', 'c9', 'h7', 'v2', 'k9', 'g10', 'j4', 'o3', 'q8', 'e4']
['d7', 'w5', 'w6', 'a8', 'i10', 'd3', 'v1', 'x6', 'q4', 'q7']
['o8', 'n3', 'r7', 'j7', 'c10', 'o2', 'o5', 'y10', 'o1', 'd6']
['s2', 'd10', 'w8', 'u4', 'o4', 'm7', 'y8', 'h9', 'r4', 'w2']
['y6', 'x5', 'e9', 'g4', 'l1', 'q5', 'c2', 'l9', 'l7', 'f1']
['q2', 'r6', 'x4', 'j8', 'a1', 'j6', 'a6', 'q1', 'v3', 'g1']
['d9', 'g2', 'p7', 'j1', 'r5', 'p1', 'y4', 'p2', 'p4', 'y1']
['u2', 'x10', 'q10', 'b3', 'i8', 'x9', 'x7', 'p9', 'l8', 'k7']
['y9', 'l4', 'u7', 'r9', 'l3', 'r8', 'm3', 'p3', 'm8', 'l5']
['m5', 'f4', 'f5', 'f7', 'f9', 'j2', 'c8', 'x2', 'd5', 'c1']
['w1', 'l6', 'm2', 'w3', 'n1', 'v7', 'h10', 'u6', 'n7', 'h5']
['o6', 'm10', 'r1', 'h6', 'a7', 'u3', 'e3', 'f10', 'e10', 'k2']
['u1', 'k3', 't6', 't9', 'g9', 'v4', 'i5', 'o10', 'h4', 'm1']
['m6', 'c4', 'p5', 'p8', 'o7', 'b1', 'q9', 'f6', 'f8', 'g6']
['h8', 'r3', 'c5', 'e6', 'n2', 'e5', 'g7', 's10', 'l2', 'c7']
['c6', 'q3', 'c3', 'b4', 'p6', 'v8', 'y2', 'v5', 'b10', 'b5']
['j5', 'g5', 'x1', 'i6', 'k4', 'q6', 'k1', 's6', 's7', 'j10']
['w10', 'r2', 'i4', 'd4', 'w7', 'n4', 'r10', 't4', 'p10', 'e7']
['w9', 'v6', 'u9', 't5', 't3', 'n10', 't8', 'g8', 'e8', 'k10']
['b2', 's3', 'y7', 't7', 'u8', 'h1', 'h3', 'h2', 'u5', 'j3']
['k8', 'd8', 's5', 's8', 'b9', 'm9', 'b7', 'v10', 't2', 't1']
['a3', 'm4', 'b6', 'f2', 'f3', 'g3', 's9', 'v9', 'a5', 'l10']
['x8', 'e2', 'n8', 'a10', 'a4', 'o9', 'i1', 'n5', 'j9', 'a9']
