['324', '61', '82', '261', '131', '132', '18', '380', '219', '212', '3', '130', '353', '167', '184', '290', '59', '205', '203', '1', '16']
['395', '268', '218', '266', '238', '154', '389', '58', '157', '377', '172', '347', '352']
['286', '285', '72', '73', '382', '213', '65', '200', '160']
['63', '68', '178', '140', '254', '191', '193', '298', '234', '295', '239', '287', '257', '258', '273', '185', '55', '162', '317', '361', '393']
['168', '256', '397', '370', '365', '400', '336', '345', '138', '136', '112', '109', '92', '161', '86', '77', '47', '34', '26', '23', '80']
['121', '133', '372', '360', '296', '362', '293', '57', '392', '391', '117', '282', '279', '390', '276', '386', '366', '368', '99', '71', '364']
['25', '312', '330', '223', '146', '152', '153', '156', '207', '201', '199', '174', '179', '181', '373', '204', '45', '237', '49', '301', '300']
['230', '307', '128', '139', '104', '235', '30', '236', '42', '308', '348', '313', '31', '343', '39', '337', '14', '327', '375', '46', '224']
['28', '363', '13', '349', '44', '29', '108', '331', '328', '233', '106', '344', '315', '17', '332', '137', '214', '211', '197', '183', '113']
['150', '159', '355', '79', '259', '367', '105', '384', '37', '376', '248', '215', '251', '189', '103', '101', '180', '5', '60', '369', '66']
['217', '94', '385', '322', '187', '43', '311', '297', '314', '53', '56', '288', '62', '316', '67', '318', '319', '281', '321', '33', '277']
['127', '90', '40', '383', '15', '374', '165', '7', '52', '50', '107', '10', '270', '269', '97', '396', '95', '89', '260', '84', '186']
['302', '222', '350', '243', '356', '122', '88', '129', '22', '151', '149', '387', '27', '142', '75', '379', '35', '78', '134', '51', '2']
['76', '399', '194', '284', '246', '341', '232', '247', '334', '249', '342', '325', '250', '228', '333', '357', '262', '264', '242', '210', '229']
['70', '41', '125', '155', '102', '114', '111', '190', '280', '192', '354', '283', '289', '309', '303', '359', '305', '271', '265', '351', '338']
['175', '304', '144', '195', '346', '123', '272', '85', '263', '320', '93', '32', '329', '252', '100', '81', '120', '119', '394', '244', '292']
['54', '69', '116', '231', '19', '135', '206', '4', '176', '171', '169', '143', '164', '241', '148', '147', '225', '163', '83', '87', '38']
['96', '6', '275', '74', '274', '166', '340', '158', '326', '226', '278', '299', '294', '8', '310', '202', '64', '170', '381', '182', '177']
['115', '323', '388', '98', '110', '220', '398', '221', '253', '21', '20', '371', '145', '209', '378', '173', '208', '227', '118', '124', '240']
['358', '126', '36', '335', '255', '11', '306', '339', '245', '141', '48', '9', '12', '216', '188', '24', '267', '91', '291', '196', '198']
